mol_idx,top_score,error,frequency,tier,mean_top_score,std_top_score,agreement_rate,predictive_entropy
2583,0.095145285,1,0,1) very rare (1-5),0.054317225,0.026821015,0.45,7.28269481149575
2584,0.2357846,1,0,1) very rare (1-5),0.09981366,0.05055503,0.95,7.240272768015303
2585,0.98778254,0,182,4) very common (100+),0.88371074,0.07136544,1.0,1.1798953440586337
2586,0.30730155,1,123,4) very common (100+),0.16112694,0.06458292,0.95,5.6996642712727414
2587,0.7374863,0,11,2) rare (6-20),0.46386218,0.10154178,0.95,2.866271842756776
2588,0.49265742,1,105,4) very common (100+),0.4968977,0.0963633,0.6,3.2492903223240006
2589,0.2322658,1,18,2) rare (6-20),0.15781868,0.04934276,0.4,5.228292848119024
2590,0.05558253,1,0,1) very rare (1-5),0.037926838,0.025701439,0.4,7.605068080278316
2591,0.01732387,1,0,1) very rare (1-5),0.01224451,0.0058554714,0.4,8.28134671427855
2592,0.061879218,1,3,1) very rare (1-5),0.038429834,0.01725641,0.35,7.574703486459807
2593,0.36532396,0,3,1) very rare (1-5),0.28703377,0.08088091,0.6,4.060637313958459
2594,0.15922938,1,2,1) very rare (1-5),0.09519417,0.039564528,0.55,6.276804707077936
2595,0.70938087,0,421,4) very common (100+),0.51498014,0.11216051,0.85,2.4992876006715314
2596,0.98865473,0,700,4) very common (100+),0.9262959,0.033761024,1.0,0.6144087828269733
2597,0.8158489,0,2,1) very rare (1-5),0.45139736,0.12259493,1.0,4.373554501187515
2598,0.28591716,0,0,1) very rare (1-5),0.10549287,0.06560996,1.0,7.220773411927068
2599,0.11279735,1,2,1) very rare (1-5),0.06233425,0.031964533,0.45,7.078886684652455
2600,0.71928954,0,21,3) common (21-100),0.37575,0.13098975,1.0,4.832209378877832
2601,0.4578904,1,0,1) very rare (1-5),0.35303336,0.09428077,0.65,4.054343296664346
2602,0.28027558,1,11,2) rare (6-20),0.21451977,0.0704886,0.55,5.185848607017841
2603,0.035888836,1,1,1) very rare (1-5),0.01690365,0.009688216,0.5,8.113394238507619
2604,0.18407288,1,2,1) very rare (1-5),0.101111434,0.051931676,0.75,6.044777888915581
2605,0.31330663,1,1070,4) very common (100+),0.25530416,0.077242926,0.45,4.550271298789869
2606,0.05682857,0,0,1) very rare (1-5),0.031063065,0.010046258,0.45,7.550505852006493
2607,0.5325528,0,261,4) very common (100+),0.19367924,0.08289543,1.0,6.3329897556608
2608,0.37311396,1,62,3) common (21-100),0.20004979,0.07465027,0.9,5.473371926468767
2609,0.855045,0,14,2) rare (6-20),0.5413093,0.11742442,1.0,3.363877497717298
2610,0.8671865,0,1,1) very rare (1-5),0.459673,0.15644461,1.0,4.632366587251414
2611,0.2131838,1,12,2) rare (6-20),0.090209484,0.047996737,0.85,6.609852048892817
2612,0.8430151,0,75,3) common (21-100),0.51140183,0.11547347,1.0,3.8227369640301845
2613,0.43823552,0,14,2) rare (6-20),0.40296307,0.10265681,0.6,3.5304951870386048
2614,0.06299208,1,51,3) common (21-100),0.037840016,0.018453307,0.4,7.8392677360484395
2615,0.6189724,0,26,3) common (21-100),0.20749037,0.09319476,1.0,6.969506578203221
2616,0.9593266,0,1000,4) very common (100+),0.8338825,0.08039159,1.0,1.2068883355064857
2617,0.4761926,0,1290,4) very common (100+),0.30647886,0.09117497,0.6,4.847637802446045
2618,0.6152611,0,372,4) very common (100+),0.43578878,0.10294626,0.7,3.2041838526148445
2619,0.42117423,0,33,3) common (21-100),0.15194027,0.08102141,0.95,6.936396762810954
2620,0.4162473,0,34,3) common (21-100),0.21727109,0.07028093,0.8,5.3919878141112685
2621,0.2561428,1,6,2) rare (6-20),0.11829382,0.034070235,0.55,6.5000390558708245
2622,0.4649883,0,27,3) common (21-100),0.26148805,0.10660282,0.6,5.147495216873012
2623,0.058404535,1,1,1) very rare (1-5),0.03318487,0.011675911,0.3,7.420564833874417
2624,0.7054685,0,700,4) very common (100+),0.32176787,0.11368347,1.0,5.634416708664531
2625,0.943344,0,12,2) rare (6-20),0.70731765,0.118668504,1.0,2.460222856259372
2626,0.98871744,0,1000,4) very common (100+),0.892965,0.07231296,1.0,1.0391096631080938
2627,0.56409705,0,5,1) very rare (1-5),0.2291615,0.09777036,1.0,6.4666552387237735
2628,0.9625924,0,421,4) very common (100+),0.78616005,0.08107778,1.0,1.8957643848472492
2629,0.61305714,0,700,4) very common (100+),0.34055454,0.13759044,0.95,4.631351837533363
2630,0.6546644,1,0,1) very rare (1-5),0.37467456,0.14422107,1.0,4.449387930277622
2631,0.8990934,0,1290,4) very common (100+),0.7820401,0.089331485,1.0,1.4483938718602178
2632,0.14117236,1,1,1) very rare (1-5),0.103932485,0.053889032,0.4,5.739952135819332
2633,0.63415694,1,12,2) rare (6-20),0.2514456,0.09164177,1.0,6.158585754361696
2634,0.9935454,0,16,2) rare (6-20),0.9154788,0.09135899,1.0,0.8732918578650961
2635,0.11823084,1,0,1) very rare (1-5),0.066787936,0.030673726,0.45,7.294888877435257
2636,0.9992729,0,211,4) very common (100+),0.98783654,0.012921128,1.0,0.13704374841003736
2637,0.32615283,1,0,1) very rare (1-5),0.22812793,0.066465005,0.6,3.41267558544089
2638,0.17902626,1,4,1) very rare (1-5),0.13562128,0.037559766,0.4,5.5352075466547275
2639,0.6357647,0,12,2) rare (6-20),0.52127945,0.0826182,0.85,2.2172365331043586
2640,0.8272551,0,10,2) rare (6-20),0.4494123,0.17529333,0.95,4.540943941153671
2641,0.57280487,0,0,1) very rare (1-5),0.2516722,0.12354792,0.95,5.958656606071745
2642,0.8982372,0,24,3) common (21-100),0.58255225,0.17311983,1.0,3.671436937595331
2643,0.56946456,0,1,1) very rare (1-5),0.1938808,0.117632076,1.0,6.626980002473074
2644,0.38018918,1,13,2) rare (6-20),0.23149419,0.069079794,0.8,3.835606860056754
2645,0.088759385,0,1,1) very rare (1-5),0.04688389,0.025459012,0.85,7.52247739500015
2646,0.9937028,0,89,3) common (21-100),0.9519327,0.034308396,1.0,0.4243228203856091
2647,0.22031729,1,0,1) very rare (1-5),0.06648348,0.034078974,0.95,7.071470863986686
2648,0.82885766,0,3,1) very rare (1-5),0.49692506,0.16026095,0.95,4.106288041638268
2649,0.933704,0,53,3) common (21-100),0.714909,0.08207522,1.0,2.3934465638794555
2650,0.9420639,0,1290,4) very common (100+),0.820319,0.089718275,1.0,1.2721972539067268
2651,0.9300741,1,8,2) rare (6-20),0.750996,0.116517834,1.0,1.9485238583955804
2652,0.99550015,0,211,4) very common (100+),0.9437496,0.029665446,1.0,0.5799664538303974
2653,0.6528385,1,146,4) very common (100+),0.29799205,0.09038007,0.95,5.089494387445345
2654,0.25153407,1,421,4) very common (100+),0.10647635,0.04598303,1.0,6.8551722330634774
2655,0.06462594,1,14,2) rare (6-20),0.04117082,0.016436208,0.25,7.216188520743097
2656,0.4376198,1,118,4) very common (100+),0.34856933,0.10851192,0.65,3.9752803774371603
2657,0.5864637,1,23,3) common (21-100),0.22503822,0.11148055,1.0,6.193318898485441
2658,0.27273825,0,3,1) very rare (1-5),0.18004212,0.060737923,0.55,5.859156780559658
2659,0.93257344,0,23,3) common (21-100),0.7423128,0.12332053,1.0,1.6175118400535855
2660,0.8351192,1,6,2) rare (6-20),0.54068774,0.096971855,1.0,3.26550984594281
2661,0.17499052,0,5,1) very rare (1-5),0.070156455,0.03959744,0.5,7.476333750605949
2662,0.94260216,1,0,1) very rare (1-5),0.6155682,0.14110161,1.0,3.5914326904677
2663,0.25932196,1,134,4) very common (100+),0.10512991,0.03204582,0.75,6.781350271369265
2664,0.7065308,0,26,3) common (21-100),0.47873473,0.1286387,0.95,2.5856756745797584
2665,0.9534088,1,6,2) rare (6-20),0.8181198,0.09727275,1.0,1.3629375592110737
2666,0.38530594,1,70,3) common (21-100),0.15799749,0.07894956,0.7,6.491753364361759
2667,0.44104865,1,0,1) very rare (1-5),0.25034815,0.10529358,0.85,4.82975935378717
2668,0.5265391,0,8,2) rare (6-20),0.27517003,0.08697725,0.65,5.014339309927952
2669,0.87825435,0,1290,4) very common (100+),0.7529596,0.08864208,1.0,1.8248731916573
2670,0.046454657,0,26,3) common (21-100),0.030428072,0.015028415,0.3,7.883520394578464
2671,0.7313644,1,100,3) common (21-100),0.5224715,0.12388403,0.95,2.785913516427006
2672,0.037811738,1,1,1) very rare (1-5),0.021686476,0.008305638,0.5,7.782082995352931
2673,0.6588203,0,17,2) rare (6-20),0.3196492,0.124812976,1.0,4.94481933348376
2674,0.80971533,0,32,3) common (21-100),0.4580586,0.17194442,1.0,4.102390454849952
2675,0.14181836,0,33,3) common (21-100),0.09286442,0.036675785,0.65,6.959844972919029
2676,0.43473512,1,30,3) common (21-100),0.2235157,0.054168683,0.8,5.248767055706026
2677,0.15266874,1,0,1) very rare (1-5),0.07416179,0.031614505,0.75,7.180710768804826
2678,0.40786347,0,1,1) very rare (1-5),0.17647316,0.07899976,1.0,6.345288173323058
2679,0.11471269,1,0,1) very rare (1-5),0.054720186,0.0344318,1.0,7.618632019722073
2680,0.07226996,1,21,3) common (21-100),0.03878717,0.017460177,0.5,7.8858014811270625
2681,0.4961801,1,3,1) very rare (1-5),0.23427656,0.10687005,0.9,6.12508339118762
2682,0.5775528,0,0,1) very rare (1-5),0.18966433,0.06703755,1.0,6.338238680741328
2683,0.786199,0,7,2) rare (6-20),0.44464678,0.13545346,1.0,4.218052447898645
2684,0.7617001,0,1070,4) very common (100+),0.45588923,0.1284462,0.95,3.8600210043683374
2685,0.8895311,0,3,1) very rare (1-5),0.7039763,0.12274893,1.0,1.6104147066654295
2686,0.9119199,0,39,3) common (21-100),0.5591673,0.1255237,1.0,3.910899076361619
2687,0.36792818,0,6,2) rare (6-20),0.1311354,0.0627936,1.0,7.167899397501056
2688,0.18545924,1,107,4) very common (100+),0.10978548,0.048101585,0.65,6.652836269722877
2689,0.10429303,1,5,1) very rare (1-5),0.04050579,0.018607253,0.8,7.684957916431475
2690,0.91276836,0,1290,4) very common (100+),0.7450981,0.06528486,1.0,1.919061822392564
2691,0.37055913,1,78,3) common (21-100),0.2064713,0.08804518,0.7,5.248768796402001
2692,0.8981052,1,1,1) very rare (1-5),0.6185171,0.13922916,1.0,2.908891224528618
2693,0.33461174,1,274,4) very common (100+),0.2818224,0.10250954,0.65,4.029518493343096
2694,0.9322504,1,3,1) very rare (1-5),0.7486746,0.09112985,1.0,1.6530084295187093
2695,0.3056111,0,7,2) rare (6-20),0.16650082,0.07526452,0.75,5.887944582268952
2696,0.6399354,0,105,4) very common (100+),0.30345663,0.09582952,1.0,5.973560002625289
2697,0.16521658,0,0,1) very rare (1-5),0.086227655,0.03932283,0.6,5.585816472212748
2698,0.55582315,1,1,1) very rare (1-5),0.25633878,0.09303291,0.9,4.807982767752689
2699,0.19735847,1,92,3) common (21-100),0.15759265,0.06670322,0.5,5.261353657531021
2700,0.63801533,0,700,4) very common (100+),0.28853875,0.124846786,0.95,5.77898873747644
2701,0.8505338,1,10,2) rare (6-20),0.5217895,0.12922673,1.0,3.888905800908345
2702,0.1800592,1,0,1) very rare (1-5),0.12616265,0.025959931,0.4,5.1957755710976805
2703,0.6531407,1,124,4) very common (100+),0.38004452,0.10253702,0.75,3.8343657317314515
2704,0.98733133,0,700,4) very common (100+),0.89043844,0.07324507,1.0,0.8753315862041476
2705,0.33737904,0,69,3) common (21-100),0.14654882,0.08584086,1.0,6.6850187379905535
2706,0.078210555,1,9,2) rare (6-20),0.043958247,0.031301964,0.5,7.588411796725374
2707,0.9604969,0,89,3) common (21-100),0.750646,0.10972674,1.0,1.8642064169219172
2708,0.5052045,0,178,4) very common (100+),0.16706476,0.06614952,0.95,6.845856570283224
2709,0.9284874,1,100,3) common (21-100),0.727502,0.110260956,1.0,2.00690285721619
2710,0.9017254,0,1290,4) very common (100+),0.75820786,0.08062668,1.0,1.5638048701485712
2711,0.990755,0,1000,4) very common (100+),0.9479102,0.025195146,1.0,0.46586160759729206
2712,0.9423745,0,19,2) rare (6-20),0.7020501,0.15705097,1.0,2.5856481109574028
2713,0.106450945,1,275,4) very common (100+),0.05946343,0.046061352,0.65,7.536759004657268
2714,0.047843087,1,0,1) very rare (1-5),0.035351235,0.011935678,0.4,7.598500862007834
2715,0.95803356,0,105,4) very common (100+),0.8472827,0.0846403,1.0,1.1679677935495067
2716,0.7812784,1,0,1) very rare (1-5),0.6569472,0.11444671,1.0,1.9421435864118244
2717,0.06250572,1,15,2) rare (6-20),0.04349462,0.0139047345,0.5,6.862912903557156
2718,0.8217103,0,85,3) common (21-100),0.45524353,0.15187979,1.0,4.225715310289847
2719,0.78156227,0,111,4) very common (100+),0.49071354,0.08953055,1.0,3.3752635623241414
2720,0.33175617,1,107,4) very common (100+),0.14179423,0.07571651,0.7,6.434276985288515
2721,0.6436907,1,0,1) very rare (1-5),0.32653466,0.12994316,0.85,4.8057685396434096
2722,0.9117434,0,99,3) common (21-100),0.60391295,0.09027137,1.0,3.297590409670858
2723,0.7574555,1,0,1) very rare (1-5),0.44287586,0.16278183,1.0,3.990538788037626
2724,0.6428518,0,1290,4) very common (100+),0.5299887,0.13374801,0.85,2.7246607106442835
2725,0.95979357,0,1000,4) very common (100+),0.76364136,0.07942909,1.0,2.072455426116225
2726,0.9095494,0,700,4) very common (100+),0.78288865,0.07527465,1.0,1.5638074708784147
2727,0.18486147,1,0,1) very rare (1-5),0.10555975,0.024276758,0.55,5.910793082971642
2728,0.8274626,0,7,2) rare (6-20),0.58678824,0.12281154,1.0,2.8378191285287118
2729,0.7314031,0,50,3) common (21-100),0.37450504,0.15148358,1.0,4.918308506033912
2730,0.27339944,1,1,1) very rare (1-5),0.12475654,0.03726687,0.7,6.270041910429005
2731,0.40539238,1,91,3) common (21-100),0.13060386,0.062613055,0.95,6.909107371679927
2732,0.9907672,0,49,3) common (21-100),0.8816778,0.05213836,1.0,1.2579448563859077
2733,0.7823496,1,26,3) common (21-100),0.561207,0.14670299,0.95,2.6892080287859157
2734,0.96023345,1,14,2) rare (6-20),0.7828667,0.116868116,1.0,1.9650594664066487
2735,0.35534176,0,1,1) very rare (1-5),0.24688642,0.07918954,0.8,3.7741357354902214
2736,0.08729485,0,0,1) very rare (1-5),0.038190626,0.029619478,0.85,7.813573128854673
2737,0.7986414,0,20,2) rare (6-20),0.4470648,0.12260954,1.0,4.574844538019079
2738,0.33234766,1,1,1) very rare (1-5),0.2703983,0.06397045,0.45,4.206180537939366
2739,0.58762586,0,7,2) rare (6-20),0.28277773,0.094012976,1.0,4.71966808271155
2740,0.021459071,1,13,2) rare (6-20),0.017142523,0.0068742787,0.2,7.947960429580591
2741,0.15574698,0,4,1) very rare (1-5),0.08040564,0.030145166,0.45,6.995447699389743
2742,0.78859746,1,107,4) very common (100+),0.5652017,0.16539668,0.95,2.6335033527545346
2743,0.55568063,1,14,2) rare (6-20),0.23351486,0.08431925,0.95,5.990080684373759
2744,0.22735201,1,4,1) very rare (1-5),0.07683668,0.039455704,0.85,7.173992721229482
2745,0.89675915,1,15,2) rare (6-20),0.5559043,0.15859239,1.0,3.3924885050265474
2746,0.75672084,1,16,2) rare (6-20),0.5501691,0.12310684,0.95,2.792150288448784
2747,0.94891703,0,11,2) rare (6-20),0.72209305,0.12593968,1.0,2.5929824545644142
2748,0.26888305,1,17,2) rare (6-20),0.13212055,0.055768706,0.8,6.02786709153113
2749,0.9587236,1,0,1) very rare (1-5),0.6545086,0.13256104,1.0,3.2822356343569776
2750,0.9560621,0,421,4) very common (100+),0.7307784,0.11635731,1.0,2.407663904459176
2751,0.035823055,0,1,1) very rare (1-5),0.018569905,0.00676172,0.75,8.156236915549465
2752,0.9953288,0,1000,4) very common (100+),0.9523139,0.032451138,1.0,0.4615308963516765
2753,0.39767674,0,1070,4) very common (100+),0.12644312,0.04690429,1.0,7.431487001427449
2754,0.9499762,1,1,1) very rare (1-5),0.772841,0.1191616,1.0,1.7071880249104763
2755,0.25688443,1,3,1) very rare (1-5),0.19744685,0.057894904,0.35,4.365753104788408
2756,0.060506348,1,35,3) common (21-100),0.029814195,0.014458249,0.55,8.120862393034594
2757,0.9743931,0,90,3) common (21-100),0.7660695,0.11686116,1.0,2.2818245793910807
2758,0.958134,0,7,2) rare (6-20),0.7538819,0.083154194,1.0,2.2758823283179637
2759,0.59408957,1,0,1) very rare (1-5),0.4434979,0.14069666,0.95,3.5434428535276035
2760,0.28256187,0,106,4) very common (100+),0.12351827,0.045960568,0.5,5.477077713654879
2761,0.053428452,1,0,1) very rare (1-5),0.032983523,0.02292379,0.45,7.806360035827754
2762,0.31216526,1,8,2) rare (6-20),0.13172068,0.050511133,0.95,6.813059231175062
2763,0.162139,1,1070,4) very common (100+),0.13446389,0.047367606,0.45,5.860331547984977
2764,0.3366479,1,28,3) common (21-100),0.16290715,0.06467612,0.6,5.442811484894733
2765,0.048475765,1,3,1) very rare (1-5),0.042630747,0.029244728,0.3,7.548643440993924
2766,0.8264687,0,134,4) very common (100+),0.53575623,0.13947362,1.0,2.711487469062827
2767,0.25840113,0,275,4) very common (100+),0.12020087,0.03816027,0.7,5.352363161407615
2768,0.4866383,1,72,3) common (21-100),0.22223833,0.08397616,0.85,5.43333685675815
2769,0.15764181,1,343,4) very common (100+),0.10739976,0.03862332,0.4,6.077656134236059
2770,0.039104015,1,0,1) very rare (1-5),0.02722401,0.01135608,0.3,7.454054820624306
2771,0.9112775,1,1,1) very rare (1-5),0.620411,0.13272084,1.0,3.178102751679494
2772,0.7650461,1,15,2) rare (6-20),0.4751032,0.09941359,1.0,3.1120941893687255
2773,0.090477474,1,56,3) common (21-100),0.052568246,0.01854895,0.65,7.388202862167913
2774,0.15149085,1,0,1) very rare (1-5),0.059955925,0.032148965,0.8,7.32746476962223
2775,0.25132638,0,32,3) common (21-100),0.12029953,0.042113513,0.75,6.1901068189986885
2776,0.5345319,0,0,1) very rare (1-5),0.3386618,0.12025823,0.95,3.899882215209959
2777,0.09129096,0,12,2) rare (6-20),0.043672793,0.013742877,0.45,7.40663390968956
2778,0.8103939,0,118,4) very common (100+),0.47632426,0.1593827,1.0,4.075412050024065
2779,0.48342916,0,47,3) common (21-100),0.3414066,0.118272774,0.9,3.3306213668738343
2780,0.8304848,0,35,3) common (21-100),0.48619413,0.16314553,1.0,4.134229128336374
2781,0.10584791,1,58,3) common (21-100),0.08461069,0.027333094,0.3,5.694008326743967
2782,0.10155136,0,28,3) common (21-100),0.052240115,0.01806048,0.65,7.424247047329152
2783,0.119217195,0,1,1) very rare (1-5),0.058902763,0.019265585,0.45,6.611151715286498
2784,0.7475238,0,372,4) very common (100+),0.39265162,0.13566747,1.0,4.6465565500458865
2785,0.51045084,1,1,1) very rare (1-5),0.27736253,0.092041194,0.85,4.325594947964509
2786,0.19791543,1,79,3) common (21-100),0.13873382,0.037749283,0.5,5.5483009025420085
2787,0.5802482,0,223,4) very common (100+),0.21245241,0.0824013,1.0,6.146347498944159
2788,0.23737818,0,0,1) very rare (1-5),0.14083509,0.053894788,0.6,5.688573178931999
2789,0.70080066,0,43,3) common (21-100),0.39162022,0.12006283,1.0,4.0592443544861325
2790,0.17255647,1,4,1) very rare (1-5),0.08464073,0.039987702,0.6,6.560928689136939
2791,0.09882724,1,0,1) very rare (1-5),0.0732042,0.020920852,0.35,6.24779015184431
2792,0.58385193,1,1000,4) very common (100+),0.5694596,0.106048755,0.7,1.5195571327085917
2793,0.31833997,1,0,1) very rare (1-5),0.09910103,0.048305713,1.0,7.545673930011231
2794,0.8546404,0,372,4) very common (100+),0.64553356,0.15188695,0.95,1.8220705917294875
2795,0.34796998,0,1,1) very rare (1-5),0.110998705,0.06168954,1.0,6.970313999901231
2796,0.10635216,1,4,1) very rare (1-5),0.05990412,0.018646035,0.4,6.51302729529903
2797,0.17926607,1,108,4) very common (100+),0.104755364,0.05688732,0.55,7.029651959971508
2798,0.6255569,1,2,1) very rare (1-5),0.33917823,0.12179665,0.9,4.505409335984692
2799,0.9977824,1,66,3) common (21-100),0.9806442,0.012041378,1.0,0.2071610594223187
2800,0.1583616,1,14,2) rare (6-20),0.1016773,0.042718023,0.35,6.7561763745922185
2801,0.28857657,0,42,3) common (21-100),0.099195205,0.054297294,1.0,7.108645724864429
2802,0.6785052,0,4,1) very rare (1-5),0.29938656,0.13408889,1.0,5.205786475973529
2803,0.4581176,1,1070,4) very common (100+),0.35750747,0.08879504,0.75,4.235008487020307
2804,0.17187372,1,79,3) common (21-100),0.10238321,0.04443879,0.55,6.987546302664202
2805,0.2278021,1,0,1) very rare (1-5),0.107857786,0.06033345,0.65,6.576346092743237
2806,0.77840513,1,1070,4) very common (100+),0.57698023,0.13383625,1.0,3.025854376922889
2807,0.0221091,1,36,3) common (21-100),0.017508807,0.007169807,0.15,7.932515864132563
2808,0.53274924,0,178,4) very common (100+),0.19830899,0.06830986,0.9,6.463702176560403
2809,0.25867966,1,1,1) very rare (1-5),0.18226865,0.05283548,0.65,4.8483529580638525
2810,0.6444188,1,52,3) common (21-100),0.35834616,0.11343618,0.9,4.041953953374905
2811,0.14705485,1,2,1) very rare (1-5),0.109264076,0.03250958,0.35,6.034971225480399
2812,0.50783855,0,274,4) very common (100+),0.22942774,0.10400849,1.0,6.103567388549102
2813,0.88090825,0,1070,4) very common (100+),0.5736811,0.132435,1.0,3.113755915602969
2814,0.17615569,1,3,1) very rare (1-5),0.11117022,0.044395622,0.6,6.5228953873983855
2815,0.19087087,1,0,1) very rare (1-5),0.091634914,0.039225776,0.45,6.624022277846461
2816,0.98597544,0,182,4) very common (100+),0.8679382,0.0790643,1.0,1.3356046630882168
2817,0.8708945,0,223,4) very common (100+),0.64294475,0.117179535,1.0,2.5064025056901205
2818,0.057190012,0,0,1) very rare (1-5),0.04482869,0.015515686,0.35,6.743570514697974
2819,0.2765421,1,6,2) rare (6-20),0.13303387,0.07262275,0.7,6.284440757004831
2820,0.76637006,0,134,4) very common (100+),0.3855554,0.11398019,1.0,4.361203817584309
2821,0.41414648,0,5,1) very rare (1-5),0.23610935,0.100098394,0.95,4.91201091092935
2822,0.290125,1,0,1) very rare (1-5),0.12799318,0.05197547,0.8,6.424149062839715
2823,0.5842512,1,11,2) rare (6-20),0.5624265,0.08434352,0.55,1.7431380922240451
2824,0.12045127,1,21,3) common (21-100),0.07290261,0.03184431,0.45,7.3684548881917795
2825,0.07994892,1,23,3) common (21-100),0.035291523,0.01481427,0.5,7.631933519222146
2826,0.44255978,0,4,1) very rare (1-5),0.19750583,0.08786009,0.8,5.944317742450374
2827,0.083275795,1,1,1) very rare (1-5),0.036346763,0.027868617,0.6,8.21791356683044
2828,0.099139795,0,0,1) very rare (1-5),0.08140366,0.028283373,0.4,5.944542554602352
2829,0.5315178,1,86,3) common (21-100),0.35816312,0.12757201,0.65,2.893388415818637
2830,0.6564578,0,223,4) very common (100+),0.46376634,0.124801666,0.95,3.5390386238809945
2831,0.2181568,0,7,2) rare (6-20),0.08067989,0.042858746,0.6,7.09447278779777
2832,0.9407203,0,1000,4) very common (100+),0.8168775,0.072435066,1.0,0.9790513378497927
2833,0.12906986,0,68,3) common (21-100),0.058175612,0.027214587,0.7,7.429667770221098
2834,0.25345802,0,1,1) very rare (1-5),0.2836856,0.07584363,0.45,2.9538108807257553
2835,0.91538274,0,10,2) rare (6-20),0.69740313,0.11393295,1.0,2.6503295967933505
2836,0.78946275,0,343,4) very common (100+),0.521572,0.13865587,1.0,2.8162159687364037
2837,0.105019696,0,0,1) very rare (1-5),0.067930676,0.02771497,0.45,6.5293379702685
2838,0.10041266,1,3,1) very rare (1-5),0.053326152,0.017282465,0.35,6.75866689664503
2839,0.8052667,0,700,4) very common (100+),0.5539639,0.0959118,0.95,2.4090295511279427
2840,0.8315499,0,1070,4) very common (100+),0.6373549,0.12404651,1.0,2.438364519765575
2841,0.367437,0,111,4) very common (100+),0.17667721,0.07623331,0.8,5.515919175982498
2842,0.8897678,1,178,4) very common (100+),0.6949747,0.1352912,1.0,1.9902929205752784
2843,0.7480151,0,49,3) common (21-100),0.38184533,0.16746782,1.0,5.3243404324171015
2844,0.90125823,1,21,3) common (21-100),0.66825056,0.12107561,1.0,2.4017421404165566
2845,0.9850433,0,16,2) rare (6-20),0.8744008,0.06936823,1.0,1.1864448336760938
2846,0.13863409,1,7,2) rare (6-20),0.044538684,0.024621287,0.7,7.645573773978439
2847,0.16809438,1,19,2) rare (6-20),0.07446422,0.028764242,0.75,7.25586530500026
2848,0.8908561,0,274,4) very common (100+),0.6517661,0.12535106,1.0,2.3327028097084717
2849,0.7428986,0,99,3) common (21-100),0.323626,0.14694197,0.95,5.5547047716836
2850,0.7635915,1,1070,4) very common (100+),0.64698464,0.09625708,1.0,1.306686627828958
2851,0.14890073,1,1,1) very rare (1-5),0.08492939,0.031482104,0.45,6.765601943818966
2852,0.75155336,0,1,1) very rare (1-5),0.32383427,0.13344339,1.0,5.681750236897381
2853,0.8375305,0,36,3) common (21-100),0.5434542,0.13831891,1.0,3.127902191712443
2854,0.9475418,1,32,3) common (21-100),0.76051915,0.12803994,1.0,1.7515533985081277
2855,0.46539572,1,6,2) rare (6-20),0.3568516,0.110659994,0.8,4.172813043548544
2856,0.9263548,1,47,3) common (21-100),0.751868,0.11904241,1.0,1.7256025480318113
2857,0.77053535,0,3,1) very rare (1-5),0.46743035,0.14749847,0.9,3.5324051371500063
2858,0.9730559,0,78,3) common (21-100),0.8777239,0.062419686,1.0,0.9526094952384591
2859,0.13059695,0,3,1) very rare (1-5),0.08453049,0.025627585,0.45,5.864411691332613
2860,0.80805016,0,24,3) common (21-100),0.43864074,0.12399267,1.0,4.403231631083676
2861,0.1359118,1,4,1) very rare (1-5),0.06200569,0.027174184,0.6,7.275206959314733
2862,0.6752451,0,99,3) common (21-100),0.6048072,0.09912776,0.8,1.6059012160493449
2863,0.8066378,0,1070,4) very common (100+),0.5808097,0.16038091,1.0,2.9931129738105
2864,0.98357695,0,39,3) common (21-100),0.8208097,0.08568003,1.0,1.794293157456953
2865,0.64233553,0,9,2) rare (6-20),0.30348545,0.11379833,1.0,4.741116980466951
2866,0.4933416,1,38,3) common (21-100),0.39143893,0.12340312,0.65,3.8652423676032734
2867,0.7710594,0,3,1) very rare (1-5),0.49002576,0.18956013,0.95,3.582474832754774
2868,0.5599954,0,3,1) very rare (1-5),0.39236674,0.08917494,0.9,2.829282395850095
2869,0.0906333,1,700,4) very common (100+),0.041222524,0.021805672,0.5,7.364935886742038
2870,0.51579696,0,178,4) very common (100+),0.40663177,0.13347553,0.85,4.157396419756893
2871,0.84526145,0,343,4) very common (100+),0.44336635,0.11906688,1.0,4.441134374260853
2872,0.49094683,0,1000,4) very common (100+),0.43272048,0.07329634,0.5,2.950841105185857
2873,0.70911974,0,159,4) very common (100+),0.4948874,0.12623052,0.8,3.5118354859528313
2874,0.43375397,0,5,1) very rare (1-5),0.36165887,0.10955581,0.65,2.9164038683247697
2875,0.8867169,0,23,3) common (21-100),0.59708065,0.09804741,1.0,2.8499107256375997
2876,0.3769505,0,18,2) rare (6-20),0.19854778,0.10612106,0.75,5.535463425100497
2877,0.32877088,1,6,2) rare (6-20),0.21062537,0.051067952,0.4,4.087018152582489
2878,0.7778448,0,69,3) common (21-100),0.43424702,0.16937694,1.0,4.654244549838034
2879,0.7316964,0,60,3) common (21-100),0.36085206,0.18586342,1.0,4.7661697802466225
2880,0.031478416,1,1,1) very rare (1-5),0.014931227,0.006250305,0.25,8.147665462356262
2881,0.8774008,1,0,1) very rare (1-5),0.5721754,0.15834568,1.0,3.3555863342791055
2882,0.45103773,1,69,3) common (21-100),0.2699426,0.07213507,0.55,4.849835614271583
2883,0.14596903,1,38,3) common (21-100),0.10003982,0.02843906,0.45,6.255954891799444
2884,0.3195285,1,2,1) very rare (1-5),0.19745418,0.08599208,0.75,4.435245569277006
