,Reactants,Products,Reagents,Labels,Frequency
19531,O=[N+:1]([O-])[c:2]1[cH:3][n:4][c:5]2[cH:6][cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][c:14]2[c:15]1-[c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1,[NH2:1][c:2]1[cH:3][n:4][c:5]2[cH:6][cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][c:14]2[c:15]1-[c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1,,"[('a', 0, 122)]",1277
19532,O=[CH:1][CH:2]([c:3]1[cH:4][cH:5][c:6]([O:7][CH3:8])[cH:9][cH:10]1)[CH:11]=O.[NH2:12][NH2:13],[cH:1]1[c:2](-[c:3]2[cH:4][cH:5][c:6]([O:7][CH3:8])[cH:9][cH:10]2)[cH:11][nH:13][n:12]1,,"[('b', 24, 387), ('b', 21, 387)]",12
19533,Br[c:1]1[cH:2][cH:3][c:4]2[c:5]([cH:6]1)[C:7]([CH2:8][CH2:9][CH3:10])([CH2:11][CH2:12][CH3:13])[CH2:14][CH2:15][S:16]2.[CH:17]#[C:18][Si:19]([CH3:20])([CH3:21])[CH3:22],[c:1]1([C:17]#[C:18][Si:19]([CH3:20])([CH3:21])[CH3:22])[cH:2][cH:3][c:4]2[c:5]([cH:6]1)[C:7]([CH2:8][CH2:9][CH3:10])([CH2:11][CH2:12][CH3:13])[CH2:14][CH2:15][S:16]2,,"[('b', 1, 521)]",265
19534,O=[N+:1]([O-])[c:2]1[cH:3][cH:4][c:5]([CH2:6][C:7]([O:8][CH2:9][C:10]([C:11]([O:12][CH2:13][CH3:14])=[O:15])([C:16](=[O:17])[O:18][CH2:19][CH3:20])[c:21]2[cH:22][cH:23][cH:24][cH:25][cH:26]2)=[O:27])[cH:28][c:29]1[CH3:30],[NH2:1][c:2]1[cH:3][cH:4][c:5]([CH2:6][C:7]([O:8][CH2:9][C:10]([C:11]([O:12][CH2:13][CH3:14])=[O:15])([C:16](=[O:17])[O:18][CH2:19][CH3:20])[c:21]2[cH:22][cH:23][cH:24][cH:25][cH:26]2)=[O:27])[cH:28][c:29]1[CH3:30],,"[('a', 0, 122)]",1277
19535,c1ccc(C[n:1]2[c:2]([C:3]([N:4]3[CH2:5][CH2:6][N:7]([c:8]4[cH:9][cH:10][c:11]([C:12]([NH:13][CH2:14][CH2:15][CH:16]([CH3:17])[CH3:18])=[O:19])[n:20][n:21]4)[CH2:22][CH2:23]3)=[O:24])[c:25]([C:26]([F:27])([F:28])[F:29])[n:30][n:31]2)cc1,[nH:1]1[c:2]([C:3]([N:4]2[CH2:5][CH2:6][N:7]([c:8]3[cH:9][cH:10][c:11]([C:12]([NH:13][CH2:14][CH2:15][CH:16]([CH3:17])[CH3:18])=[O:19])[n:20][n:21]3)[CH2:22][CH2:23]2)=[O:24])[c:25]([C:26]([F:27])([F:28])[F:29])[n:30][n:31]1,,"[('a', 0, 81)]",13
19536,CC(C)(C)OC(=O)[NH:1][C:2]1([c:3]2[cH:4][cH:5][c:6](-[c:7]3[n:8][c:9]4[c:10]5[cH:11][cH:12][cH:13][c:14](/[CH:15]=[CH:16]/[C:17]([NH2:18])=[O:19])[c:20]5[n:21][n:22]4[cH:23][c:24]3-[c:25]3[cH:26][cH:27][cH:28][cH:29][cH:30]3)[cH:31][cH:32]2)[CH2:33][CH2:34][CH2:35]1,[NH2:1][C:2]1([c:3]2[cH:4][cH:5][c:6](-[c:7]3[n:8][c:9]4[c:10]5[cH:11][cH:12][cH:13][c:14](/[CH:15]=[CH:16]/[C:17]([NH2:18])=[O:19])[c:20]5[n:21][n:22]4[cH:23][c:24]3-[c:25]3[cH:26][cH:27][cH:28][cH:29][cH:30]3)[cH:31][cH:32]2)[CH2:33][CH2:34][CH2:35]1,,"[('a', 0, 123)]",1493
19537,I[c:1]1[c:2]2[n:3]([cH:4][n:5]1)-[c:6]1[cH:7][cH:8][c:9]([F:10])[cH:11][c:12]1[C:13](=[O:14])[N:15]([CH3:16])[CH2:17]2.[CH:18]#[C:19][c:20]1[cH:21][cH:22][c:23]([Cl:24])[cH:25][cH:26]1,[c:1]1([C:18]#[C:19][c:20]2[cH:21][cH:22][c:23]([Cl:24])[cH:25][cH:26]2)[c:2]2[n:3]([cH:4][n:5]1)-[c:6]1[cH:7][cH:8][c:9]([F:10])[cH:11][c:12]1[C:13](=[O:14])[N:15]([CH3:16])[CH2:17]2,,"[('b', 1, 516)]",212
19538,[OH:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH2:22][Br:23].Cl[S:1]([c:2]1[cH:3][cH:4][c:5]([CH3:6])[cH:7][cH:8]1)(=[O:9])=[O:10],[S:1]([c:2]1[cH:3][cH:4][c:5]([CH3:6])[cH:7][cH:8]1)(=[O:9])(=[O:10])[O:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH2:22][Br:23],,"[('b', 19, 527)]",366
19539,[CH3:9][c:10]1[c:11]([N:12]2[CH2:13][CH2:14][NH:15][CH2:16][CH2:17]2)[n:18][c:19]2[cH:20][c:21]([F:22])[cH:23][c:24]([F:25])[c:26]2[c:27]1[NH:28][c:29]1[cH:30][n:31][cH:32][c:33]([N:34]2[CH2:35][CH2:36][O:37][CH2:38][CH2:39]2)[cH:40]1.Cl[C:1]([O:2][CH2:3][C:4]([CH3:5])([CH3:6])[CH3:7])=[O:8],[C:1]([O:2][CH2:3][C:4]([CH3:5])([CH3:6])[CH3:7])(=[O:8])[N:15]1[CH2:14][CH2:13][N:12]([c:11]2[c:10]([CH3:9])[c:27]([NH:28][c:29]3[cH:30][n:31][cH:32][c:33]([N:34]4[CH2:35][CH2:36][O:37][CH2:38][CH2:39]4)[cH:40]3)[c:26]3[c:19]([n:18]2)[cH:20][c:21]([F:22])[cH:23][c:24]3[F:25])[CH2:17][CH2:16]1,,"[('b', 15, 546)]",2537
19540,O[C:1]([C:2]1([CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH3:10])[S:11][CH2:12][CH2:13][CH2:14][S:15]1)=[O:16].[CH3:17][O:18][c:19]1[cH:20][cH:21][c:22]2[n:23][cH:24][cH:25][cH:26][c:27]2[c:28]1[NH2:29],[C:1]([C:2]1([CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH3:10])[S:11][CH2:12][CH2:13][CH2:14][S:15]1)(=[O:16])[NH:29][c:28]1[c:19]([O:18][CH3:17])[cH:20][cH:21][c:22]2[n:23][cH:24][cH:25][cH:26][c:27]21,,"[('b', 31, 547)]",4537
19541,[CH3:11][O:12][c:13]1[cH:14][cH:15][c:16]2[nH:17][cH:18][c:19]([CH2:20][CH2:21][NH:22][C:23]([CH3:24])=[O:25])[c:26]2[cH:27]1.Cl[S:1]([c:2]1[cH:3][cH:4][c:5]([CH3:6])[cH:7][cH:8]1)(=[O:9])=[O:10],[S:1]([c:2]1[cH:3][cH:4][c:5]([CH3:6])[cH:7][cH:8]1)(=[O:9])(=[O:10])[n:17]1[c:16]2[cH:15][cH:14][c:13]([O:12][CH3:11])[cH:27][c:26]2[c:19]([CH2:20][CH2:21][NH:22][C:23]([CH3:24])=[O:25])[cH:18]1,,"[('b', 19, 480)]",52
19542,[O:1]=[S:2](=[O:3])([c:4]1[cH:5][cH:6][cH:7][s:8]1)[n:9]1[cH:10][c:11]([CH2:12][OH:13])[cH:14][c:15]1-[c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1,[O:1]=[S:2](=[O:3])([c:4]1[cH:5][cH:6][cH:7][s:8]1)[n:9]1[cH:10][c:11]([CH:12]=[O:13])[cH:14][c:15]1-[c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1,,"[('b', 22, 529), ('b', 23, 529)]",413
19543,CC(C)(C)OC(=O)[NH:1][C:2]([CH3:3])([CH3:4])[CH2:5][N:6]1[CH2:7][CH2:8][CH2:9][C@@H:10]1[C:11](=[O:12])[NH:13][CH:14]1[CH:15]2[CH2:16][CH:17]3[CH2:18][CH:19]([CH2:20]2)[CH2:21][CH:22]1[CH2:23]3,[NH2:1][C:2]([CH3:3])([CH3:4])[CH2:5][N:6]1[CH2:7][CH2:8][CH2:9][C@@H:10]1[C:11](=[O:12])[NH:13][CH:14]1[CH:15]2[CH2:16][CH:17]3[CH2:18][CH:19]([CH2:20]2)[CH2:21][CH:22]1[CH2:23]3,,"[('a', 0, 123)]",1493
19544,[CH3:1][N:2]([CH2:3][c:4]1[cH:5][c:6]([CH:7]=[O:8])[cH:9][cH:10][c:11]1[O:12][c:13]1[cH:14][cH:15][c:16]([Cl:17])[c:18]([Cl:19])[cH:20]1)[C:21](=[O:22])[O:23][C:24]([CH3:25])([CH3:26])[CH3:27],[CH3:1][N:2]([CH2:3][c:4]1[cH:5][c:6]([CH2:7][OH:8])[cH:9][cH:10][c:11]1[O:12][c:13]1[cH:14][cH:15][c:16]([Cl:17])[c:18]([Cl:19])[cH:20]1)[C:21](=[O:22])[O:23][C:24]([CH3:25])([CH3:26])[CH3:27],,"[('b', 12, 537), ('b', 13, 537)]",573
19545,[CH3:1][CH2:2][c:3]1[cH:4][cH:5][cH:6][c:7](-[c:8]2[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]2[C:15]([OH:16])([CH2:17][CH2:18][CH2:19][NH:20][C:21](=[O:22])[O:23][CH3:24])[C@@H:25]2[CH2:26][CH2:27][CH2:28][NH:29][CH2:30]2)[cH:31]1.[O-][C:32]([CH2:33][CH:34]([CH2:35][N:36]([CH3:37])[S:38](=[O:39])(=[O:40])[c:41]1[cH:42][cH:43][cH:44][cH:45][c:46]1[N+:47](=[O:48])[O-:49])[OH:50])=[O:51],[CH3:1][CH2:2][c:3]1[cH:4][cH:5][cH:6][c:7](-[c:8]2[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]2[C:15]([OH:16])([CH2:17][CH2:18][CH2:19][NH:20][C:21](=[O:22])[O:23][CH3:24])[C@@H:25]2[CH2:26][CH2:27][CH2:28][N:29]([C:32]([CH2:33][CH:34]([CH2:35][N:36]([CH3:37])[S:38](=[O:39])(=[O:40])[c:41]3[cH:42][cH:43][cH:44][cH:45][c:46]3[N+:47](=[O:48])[O-:49])[OH:50])=[O:51])[CH2:30]2)[cH:31]1,,"[('b', 56, 483)]",56
19546,[CH3:5][O:6][c:7]1[cH:8][n:9][c:10]([N+:11](=[O:12])[O-:13])[c:14]([NH2:15])[cH:16]1.Cl[C:1](=[O:2])[CH2:3][Cl:4],[C:1](=[O:2])([CH2:3][Cl:4])[NH:15][c:14]1[c:10]([N+:11](=[O:12])[O-:13])[n:9][cH:8][c:7]([O:6][CH3:5])[cH:16]1,,"[('b', 7, 546)]",2537
19547,[CH3:14][O:15][c:16]1[cH:17][cH:18][c:19]([N:20]2[CH2:21][CH2:22][N:23]([CH3:24])[CH2:25][CH2:26]2)[c:27]2[c:28]1[CH2:29][CH2:30][NH:31][CH2:32]2.O[C:1]([c:2]1[cH:3][cH:4][c:5]([NH:6][CH2:7][CH2:8][CH2:9][CH3:10])[cH:11][cH:12]1)=[O:13],[C:1]([c:2]1[cH:3][cH:4][c:5]([NH:6][CH2:7][CH2:8][CH2:9][CH3:10])[cH:11][cH:12]1)(=[O:13])[N:31]1[CH2:30][CH2:29][c:28]2[c:16]([O:15][CH3:14])[cH:17][cH:18][c:19]([N:20]3[CH2:21][CH2:22][N:23]([CH3:24])[CH2:25][CH2:26]3)[c:27]2[CH2:32]1,,"[('b', 25, 547)]",4537
19548,O[C:1](=[O:2])[c:3]1[cH:4][cH:5][c:6]([N:7]2[CH2:8][CH2:9][CH2:10][C:11]2=[O:12])[cH:13][c:14]1[Cl:15].[NH2:16][c:17]1[cH:18][cH:19][c:20]([Cl:21])[c:22](-[c:23]2[cH:24][cH:25][cH:26][cH:27][n:28]2)[cH:29]1,[C:1](=[O:2])([c:3]1[cH:4][cH:5][c:6]([N:7]2[CH2:8][CH2:9][CH2:10][C:11]2=[O:12])[cH:13][c:14]1[Cl:15])[NH:16][c:17]1[cH:18][cH:19][c:20]([Cl:21])[c:22](-[c:23]2[cH:24][cH:25][cH:26][cH:27][n:28]2)[cH:29]1,,"[('b', 29, 547)]",4537
19549,[CH3:2][CH2:3][CH2:4][CH2:5][CH2:6][c:7]1[cH:8][cH:9][c:10]([S:11](=[O:12])(=[O:13])[NH:14][C:15]2([CH2:16][C:17](=[O:18])[O:19][CH2:20][CH3:21])[CH2:22][CH2:23][NH:24][CH2:25]2)[cH:26][cH:27]1.O=[CH2:1],[CH3:1][N:24]1[CH2:23][CH2:22][C:15]([NH:14][S:11]([c:10]2[cH:9][cH:8][c:7]([CH2:6][CH2:5][CH2:4][CH2:3][CH3:2])[cH:27][cH:26]2)(=[O:12])=[O:13])([CH2:16][C:17](=[O:18])[O:19][CH2:20][CH3:21])[CH2:25]1,,"[('b', 1, 544)]",1299
19550,Cl[c:1]1[n:2][c:3]([Cl:4])[n:5][c:6]2[c:7]1[cH:8][n:9][n:10]2-[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1.[CH3:17][c:18]1[cH:19][c:20]([NH2:21])[n:22][nH:23]1,[c:1]1([NH:21][c:20]2[cH:19][c:18]([CH3:17])[nH:23][n:22]2)[n:2][c:3]([Cl:4])[n:5][c:6]2[c:7]1[cH:8][n:9][n:10]2-[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,,"[('b', 1, 545)]",1916
19551,CON(C)[C:1](=[O:2])[c:3]1[cH:4][n:5]([CH2:6][c:7]2[cH:8][cH:9][cH:10][c:11]([CH3:12])[n:13]2)[c:14]2[n:15][c:16]([CH3:17])[c:18]([CH3:19])[cH:20][c:21]2[c:22]1=[O:23].[Mg+][c:24]1[cH:25][cH:26][c:27]([O:28][CH3:29])[c:30]([F:31])[cH:32]1,[C:1](=[O:2])([c:3]1[cH:4][n:5]([CH2:6][c:7]2[cH:8][cH:9][cH:10][c:11]([CH3:12])[n:13]2)[c:14]2[n:15][c:16]([CH3:17])[c:18]([CH3:19])[cH:20][c:21]2[c:22]1=[O:23])[c:24]1[cH:25][cH:26][c:27]([O:28][CH3:29])[c:30]([F:31])[cH:32]1,,"[('b', 45, 351)]",8
19552,Cl[C:1](=[O:2])[O:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1.[NH2:11][c:12]1[cH:13][cH:14][c:15]([C:16](=[O:17])[OH:18])[cH:19][cH:20]1,[C:1](=[O:2])([O:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[NH:11][c:12]1[cH:13][cH:14][c:15]([C:16](=[O:17])[OH:18])[cH:19][cH:20]1,,"[('b', 19, 546)]",2537
19553,CO[C:1](=[O:2])[C:3]1=[C:4]([OH:5])[c:6]2[s:7][c:8]([Br:9])[cH:10][c:11]2[S:12](=[O:13])(=[O:14])[N:15]1[CH3:16].[NH2:17][c:18]1[cH:19][cH:20][cH:21][cH:22][n:23]1,[C:1](=[O:2])([C:3]1=[C:4]([OH:5])[c:6]2[s:7][c:8]([Br:9])[cH:10][c:11]2[S:12](=[O:13])(=[O:14])[N:15]1[CH3:16])[NH:17][c:18]1[cH:19][cH:20][cH:21][cH:22][n:23]1,,"[('b', 31, 522)]",271
19554,O[C:1]([c:2]1[c:3]([CH2:4][CH2:5][CH3:6])[n:7](-[c:8]2[cH:9][cH:10][c:11]([C:12](=[O:13])[NH:14][CH2:15][CH2:16][CH2:17][c:18]3[cH:19][cH:20][cH:21][cH:22][cH:23]3)[cH:24][cH:25]2)[n:26][n:27]1)=[O:28].[NH2:29][CH:30]1[CH2:31][CH2:32]1,[C:1]([c:2]1[c:3]([CH2:4][CH2:5][CH3:6])[n:7](-[c:8]2[cH:9][cH:10][c:11]([C:12](=[O:13])[NH:14][CH2:15][CH2:16][CH2:17][c:18]3[cH:19][cH:20][cH:21][cH:22][cH:23]3)[cH:24][cH:25]2)[n:26][n:27]1)(=[O:28])[NH:29][CH:30]1[CH2:31][CH2:32]1,,"[('b', 55, 547)]",4537
19555,c1ccc([P+](c2ccccc2)(c2ccccc2)[CH2:13][CH2:14][CH2:15][CH2:16][C:17](=[O:18])[OH:19])cc1.O=[C:1]1[CH2:2][C@@H:3]2[CH2:4][C:5]3([CH2:6][C@@H:7]2[CH2:8]1)[O:9][CH2:10][CH2:11][O:12]3,[C:1]1(=[CH:13][CH2:14][CH2:15][CH2:16][C:17](=[O:18])[OH:19])[CH2:2][C@H:3]2[CH2:4][C:5]3([CH2:6][C@H:7]2[CH2:8]1)[O:9][CH2:10][CH2:11][O:12]3,,"[('b', 0, 508)]",142
19556,Br[c:1]1[n:2][c:3]([NH:4][c:5]2[cH:6][cH:7][c:8]([N:9]3[CH2:10][CH2:11][O:12][CH2:13][CH2:14]3)[cH:15][cH:16]2)[n:17][c:18]2[nH:19][cH:20][cH:21][c:22]12.OB(O)[c:23]1[cH:24][cH:25][c:26]([NH:27][C:28]([CH3:29])=[O:30])[cH:31][cH:32]1,[c:1]1(-[c:23]2[cH:24][cH:25][c:26]([NH:27][C:28]([CH3:29])=[O:30])[cH:31][cH:32]2)[n:2][c:3]([NH:4][c:5]2[cH:6][cH:7][c:8]([N:9]3[CH2:10][CH2:11][O:12][CH2:13][CH2:14]3)[cH:15][cH:16]2)[n:17][c:18]2[nH:19][cH:20][cH:21][c:22]12,,"[('b', 0, 541)]",900
19557,O=C(OCc1ccccc1)[NH:1][CH2:2][CH2:3][c:4]1[cH:5][n:6]([CH3:7])[n:8][cH:9]1,[NH2:1][CH2:2][CH2:3][c:4]1[cH:5][n:6]([CH3:7])[n:8][cH:9]1,,"[('a', 0, 116)]",197
19558,Br[CH2:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1.[CH3:8][O:9][C:10](=[O:11])[CH2:12][OH:13],[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[O:13][CH2:12][C:10]([O:9][CH3:8])=[O:11],,"[('b', 13, 542)]",924
19559,[CH3:7][CH2:8][NH:9][CH2:10][c:11]1[cH:12][c:13]([C:14]([F:15])([F:16])[F:17])[cH:18][cH:19][c:20]1-[c:21]1[cH:22][c:23]([C:24]([F:25])([F:26])[F:27])[cH:28][c:29]([CH2:30][C:31](=[O:32])[O:33][CH2:34][CH3:35])[n:36]1.Cl[C:1](=[O:2])[CH:3]1[CH2:4][CH2:5][CH2:6]1,[C:1](=[O:2])([CH:3]1[CH2:4][CH2:5][CH2:6]1)[N:9]([CH2:8][CH3:7])[CH2:10][c:11]1[cH:12][c:13]([C:14]([F:15])([F:16])[F:17])[cH:18][cH:19][c:20]1-[c:21]1[cH:22][c:23]([C:24]([F:25])([F:26])[F:27])[cH:28][c:29]([CH2:30][C:31](=[O:32])[O:33][CH2:34][CH3:35])[n:36]1,,"[('b', 11, 546)]",2537
19560,[CH3:2][S:3][c:4]1[n:5][cH:6][c:7](-[c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]2[CH3:14])[c:15]([C:16](=[O:17])[NH:18][CH2:19][c:20]2[cH:21][c:22]([Cl:23])[cH:24][c:25]([Cl:26])[cH:27]2)[n:28]1.I[CH3:1],[CH3:1][N:18]([C:16]([c:15]1[c:7](-[c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]2[CH3:14])[cH:6][n:5][c:4]([S:3][CH3:2])[n:28]1)=[O:17])[CH2:19][c:20]1[cH:21][c:22]([Cl:23])[cH:24][c:25]([Cl:26])[cH:27]1,,"[('b', 1, 519)]",258
19561,Cl[c:1]1[cH:2][c:3]([O:4][CH3:5])[c:6]([N+:7](=[O:8])[O-:9])[cH:10][cH:11]1.[SH:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1,[c:1]1([S:12][c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[cH:2][c:3]([O:4][CH3:5])[c:6]([N+:7](=[O:8])[O-:9])[cH:10][cH:11]1,,"[('b', 1, 490)]",66
19562,Cl[c:10]1[c:11]([CH2:12][CH2:13][CH2:14][CH3:15])[n:16][n:17][c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]12.Br[CH2:1][c:2]1[cH:3][cH:4][c:5]([C:6]#[N:7])[cH:8][cH:9]1,[CH2:1]([c:2]1[cH:3][cH:4][c:5]([C:6]#[N:7])[cH:8][cH:9]1)[c:10]1[c:11]([CH2:12][CH2:13][CH2:14][CH3:15])[n:16][n:17][c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]12,,"[('b', 17, 84)]",1
19563,I[CH2:1][C@H:2]1[O:3][C@@H:4]([n:5]2[c:6](=[O:7])[nH:8][c:9](=[O:10])[c:11]([F:12])[cH:13]2)[C@H:14]([OH:15])[C@@H:16]1[OH:17],[CH3:1][C@H:2]1[O:3][C@@H:4]([n:5]2[c:6](=[O:7])[nH:8][c:9](=[O:10])[c:11]([F:12])[cH:13]2)[C@H:14]([OH:15])[C@@H:16]1[OH:17],,"[('a', 0, 60)]",3
19564,Cl[c:1]1[c:2]([N:3]2[CH2:4][CH2:5][N:6]([C:7](=[O:8])[NH:9][c:10]3[cH:11][cH:12][cH:13][c:14]([F:15])[cH:16]3)[CH2:17][CH:18]2[c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[n:25][c:26]2[cH:27][cH:28][cH:29][cH:30][c:31]2[n:32]1,[cH:1]1[c:2]([N:3]2[CH2:4][CH2:5][N:6]([C:7](=[O:8])[NH:9][c:10]3[cH:11][cH:12][cH:13][c:14]([F:15])[cH:16]3)[CH2:17][CH:18]2[c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[n:25][c:26]2[cH:27][cH:28][cH:29][cH:30][c:31]2[n:32]1,,"[('a', 0, 106)]",78
19565,O[C:1](=[O:2])/[CH:3]=[CH:4]/[c:5]1[cH:6][n:7][c:8]2[c:9]([cH:10]1)[O:11][CH2:12][CH2:13][NH:14]2.[CH3:15][NH:16][CH2:17][c:18]1[cH:19][n:20]([CH3:21])[c:22]2[cH:23][cH:24][cH:25][cH:26][c:27]12,[C:1](=[O:2])(/[CH:3]=[CH:4]/[c:5]1[cH:6][n:7][c:8]2[c:9]([cH:10]1)[O:11][CH2:12][CH2:13][NH:14]2)[N:16]([CH3:15])[CH2:17][c:18]1[cH:19][n:20]([CH3:21])[c:22]2[cH:23][cH:24][cH:25][cH:26][c:27]12,,"[('b', 27, 547)]",4537
19566,CC(C)(C)[O:1][C:2]([CH:3]([c:4]1[cH:5][cH:6][c:7]2[n:8][cH:9][c:10]([O:11][CH3:12])[cH:13][c:14]2[cH:15]1)[CH3:16])=[O:17],[OH:1][C:2]([CH:3]([c:4]1[cH:5][cH:6][c:7]2[n:8][cH:9][c:10]([O:11][CH3:12])[cH:13][c:14]2[cH:15]1)[CH3:16])=[O:17],,"[('a', 0, 118)]",281
19567,[CH3:14][CH:15]([CH3:16])[CH2:17][CH2:18][NH:19][C:20](=[O:21])[c:22]1[cH:23][cH:24][c:25]([N:26]2[CH2:27][CH2:28][NH:29][CH2:30][CH2:31]2)[n:32][n:33]1.Cl[C:1](=[O:2])[c:3]1[cH:4][c:5]([Cl:6])[cH:7][cH:8][c:9]1[C:10]([F:11])([F:12])[F:13],[C:1](=[O:2])([c:3]1[cH:4][c:5]([Cl:6])[cH:7][cH:8][c:9]1[C:10]([F:11])([F:12])[F:13])[N:29]1[CH2:28][CH2:27][N:26]([c:25]2[cH:24][cH:23][c:22]([C:20]([NH:19][CH2:18][CH2:17][CH:15]([CH3:14])[CH3:16])=[O:21])[n:33][n:32]2)[CH2:31][CH2:30]1,,"[('b', 25, 546)]",2537
19568,O[C:1]([c:2]1[c:3]([CH3:4])[c:5]2[nH:6][c:7]3[n:8][cH:9][c:10]([CH3:11])[cH:12][c:13]3[c:14]2[c:15]([Cl:16])[cH:17]1)=[O:18].[CH3:19][N:20]([CH3:21])[CH2:22][CH2:23][NH2:24],[C:1]([c:2]1[c:3]([CH3:4])[c:5]2[nH:6][c:7]3[n:8][cH:9][c:10]([CH3:11])[cH:12][c:13]3[c:14]2[c:15]([Cl:16])[cH:17]1)(=[O:18])[NH:24][CH2:23][CH2:22][N:20]([CH3:19])[CH3:21],,"[('b', 35, 547)]",4537
19569,Cl[c:1]1[cH:2][c:3]([NH:4][CH2:5][C:6]([O:7][CH2:8][CH3:9])=[O:10])[n:11][c:12](-[c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[n:19]1.[SH:20][c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1,[c:1]1([S:20][c:21]2[cH:22][cH:23][cH:24][cH:25][cH:26]2)[cH:2][c:3]([NH:4][CH2:5][C:6]([O:7][CH2:8][CH3:9])=[O:10])[n:11][c:12](-[c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[n:19]1,,"[('b', 1, 490)]",66
19570,[O:12]=[S:13](=[O:14])([c:15]1[cH:16][cH:17][c:18]([OH:19])[cH:20][cH:21]1)[CH:22]1[CH2:23][CH2:24][NH:25][CH2:26]1.O=[C:1]1[CH2:2][CH:3]([CH2:4][c:5]2[cH:6][cH:7][cH:8][cH:9][cH:10]2)[CH2:11]1,[C@@H:1]1([N:25]2[CH2:24][CH2:23][CH:22]([S:13](=[O:12])(=[O:14])[c:15]3[cH:16][cH:17][c:18]([OH:19])[cH:20][cH:21]3)[CH2:26]2)[CH2:2][C@@H:3]([CH2:4][c:5]2[cH:6][cH:7][cH:8][cH:9][cH:10]2)[CH2:11]1,,"[('b', 1, 544)]",1299
19571,[CH3:12][CH2:13][N:14]([C:15](=[O:16])[CH2:17][c:18]1[cH:19][cH:20][c:21]([F:22])[cH:23][cH:24]1)[CH:25]1[CH2:26][CH2:27][NH:28][CH2:29][CH2:30]1.Cl[CH2:1][CH2:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([F:9])[cH:10][cH:11]1,[CH2:1]([CH2:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([F:9])[cH:10][cH:11]1)[N:28]1[CH2:27][CH2:26][CH:25]([N:14]([CH2:13][CH3:12])[C:15](=[O:16])[CH2:17][c:18]2[cH:19][cH:20][c:21]([F:22])[cH:23][cH:24]2)[CH2:30][CH2:29]1,,"[('b', 21, 546)]",2537
19572,[NH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][c:16]1[N:17]1[CH2:18][CH2:19][c:20]2[cH:21][cH:22][cH:23][cH:24][c:25]21.Cl[C:1](=[O:2])[c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1[F:9],[C:1](=[O:2])([c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1[F:9])[NH:10][c:11]1[cH:12][cH:13][cH:14][cH:15][c:16]1[N:17]1[CH2:18][CH2:19][c:20]2[cH:21][cH:22][cH:23][cH:24][c:25]21,,"[('b', 17, 546)]",2537
