Unnamed: 0,Reactants,Products,Reagents,Labels,Frequency,Split,Mask
20840,[CH3:2][O:3][C:4](=[O:5])[c:6]1[cH:7][cH:8][c:9]([CH2:10][NH:11][c:12]2[cH:13][cH:14][c:15]([CH2:16][C@H:17]([NH:18][C:19](=[O:20])[C@H:21]([CH3:22])[N:23]([CH3:24])[C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:30])[CH3:31])[C:32](=[O:33])[N:34]3[CH2:35][c:36]4[cH:37][cH:38][cH:39][cH:40][c:41]4[CH2:42][C@H:43]3[C:44](=[O:45])[NH:46][C@@H:47]3[CH2:48][CH2:49][CH2:50][c:51]4[cH:52][cH:53][cH:54][cH:55][c:56]43)[cH:57][cH:58]2)[cH:59][cH:60]1.O=[CH2:1],[CH3:1][N:11]([CH2:10][c:9]1[cH:8][cH:7][c:6]([C:4]([O:3][CH3:2])=[O:5])[cH:60][cH:59]1)[c:12]1[cH:13][cH:14][c:15]([CH2:16][C@H:17]([NH:18][C:19](=[O:20])[C@H:21]([CH3:22])[N:23]([CH3:24])[C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:30])[CH3:31])[C:32](=[O:33])[N:34]2[CH2:35][c:36]3[cH:37][cH:38][cH:39][cH:40][c:41]3[CH2:42][C@H:43]2[C:44](=[O:45])[NH:46][C@@H:47]2[CH2:48][CH2:49][CH2:50][c:51]3[cH:52][cH:53][cH:54][cH:55][c:56]32)[cH:57][cH:58]1,,"[('b', 1, 544)]",1299,train,1
20841,[O:5]=[C:6]1[CH2:7][CH2:8][CH2:9][c:10]2[cH:11][cH:12][c:13]([N+:14](=[O:15])[O-:16])[cH:17][c:18]2[NH:19]1.Br[CH2:1][CH2:2][O:3][CH3:4],[CH2:1]([CH2:2][O:3][CH3:4])[N:19]1[C:6](=[O:5])[CH2:7][CH2:8][CH2:9][c:10]2[cH:11][cH:12][c:13]([N+:14](=[O:15])[O-:16])[cH:17][c:18]21,,"[('b', 7, 543)]",955,train,1
20842,F[c:1]1[cH:2][cH:3][c:4]([N+:5](=[O:6])[O-:7])[cH:8][cH:9]1.[OH:10][CH2:11][C@@H:12]1[CH2:13][O:14][CH2:15][CH2:16][NH:17]1,[c:1]1([N:17]2[C@H:12]([CH2:11][OH:10])[CH2:13][O:14][CH2:15][CH2:16]2)[cH:2][cH:3][c:4]([N+:5](=[O:6])[O-:7])[cH:8][cH:9]1,,"[('b', 1, 528)]",393,train,1
20843,CCO[C:1](=[O:2])[C:3]([F:4])([F:5])[c:6]1[cH:7][cH:8][cH:9][cH:10][n:11]1,[CH2:1]([OH:2])[C:3]([F:4])([F:5])[c:6]1[cH:7][cH:8][cH:9][cH:10][n:11]1,,"[('a', 0, 115)]",196,train,1
20844,C1CO[C:1]2([C:2]3=[N:3][CH:4]([CH3:5])[CH2:6][CH2:7][N:8]3[c:9]3[c:10]2[cH:11][c:12]([S:13](=[O:14])(=[O:15])[N:16]2[CH2:17][CH2:18][CH2:19][CH2:20]2)[cH:21][cH:22]3)[O:23]C1,[C:1]1(=[O:23])[C:2]2=[N:3][CH:4]([CH3:5])[CH2:6][CH2:7][N:8]2[c:9]2[c:10]1[cH:11][c:12]([S:13](=[O:14])(=[O:15])[N:16]1[CH2:17][CH2:18][CH2:19][CH2:20]1)[cH:21][cH:22]2,,"[('a', 0, 69), ('a', 1, 69)]",7,train,1
20845,[CH3:7][O:8][C:9](=[O:10])[c:11]1[cH:12][n:13][c:14]([NH2:15])[cH:16][n:17]1.Cl[C:1]([O:2][CH2:3][CH:4]=[CH2:5])=[O:6],[C:1]([O:2][CH2:3][CH:4]=[CH2:5])(=[O:6])[NH:15][c:14]1[n:13][cH:12][c:11]([C:9]([O:8][CH3:7])=[O:10])[n:17][cH:16]1,,"[('b', 11, 546)]",2537,train,1
20846,Cl[C:1]([c:2]1[cH:3][cH:4][c:5]([C:6]([O:7][CH2:8][CH3:9])=[O:10])[cH:11][cH:12]1)=[O:13].[CH3:14][N:15]1[C:16](=[O:17])[CH2:18][CH2:19][CH2:20][c:21]2[cH:22][c:23]([NH2:24])[cH:25][cH:26][c:27]21,[C:1]([c:2]1[cH:3][cH:4][c:5]([C:6]([O:7][CH2:8][CH3:9])=[O:10])[cH:11][cH:12]1)(=[O:13])[NH:24][c:23]1[cH:22][c:21]2[c:27]([cH:26][cH:25]1)[N:15]([CH3:14])[C:16](=[O:17])[CH2:18][CH2:19][CH2:20]2,,"[('b', 25, 546)]",2537,train,1
20847,Cl[c:1]1[cH:2][cH:3][c:4]([C:5]([NH:6][CH2:7][CH2:8][CH2:9][O:10][CH3:11])=[O:12])[cH:13][n:14]1.[NH2:15][NH2:16],[c:1]1([NH:16][NH2:15])[cH:2][cH:3][c:4]([C:5]([NH:6][CH2:7][CH2:8][CH2:9][O:10][CH3:11])=[O:12])[cH:13][n:14]1,,"[('b', 1, 545)]",1916,train,1
20848,CCO[C:1](=[O:2])[c:3]1[n:4][c:5]([Cl:6])[n:7][cH:8][c:9]1[NH:10][CH2:11][C:12]1([CH3:13])[CH2:14][O:15][CH2:16]1.[NH3:17],[C:1](=[O:2])([c:3]1[n:4][c:5]([Cl:6])[n:7][cH:8][c:9]1[NH:10][CH2:11][C:12]1([CH3:13])[CH2:14][O:15][CH2:16]1)[NH2:17],,"[('b', 31, 523)]",287,train,1
20849,Br[CH2:1][CH2:2][NH:3][S:4](=[O:5])(=[O:6])[c:7]1[cH:8][cH:9][c:10]([S:11](=[O:12])(=[O:13])[NH:14][c:15]2[cH:16][cH:17][cH:18][c:19]3[c:20]([Cl:21])[cH:22][nH:23][c:24]23)[cH:25][cH:26]1.[cH:27]1[cH:28][nH:29][cH:30][n:31]1,[CH2:1]([CH2:2][NH:3][S:4](=[O:5])(=[O:6])[c:7]1[cH:8][cH:9][c:10]([S:11](=[O:12])(=[O:13])[NH:14][c:15]2[cH:16][cH:17][cH:18][c:19]3[c:20]([Cl:21])[cH:22][nH:23][c:24]23)[cH:25][cH:26]1)[n:29]1[cH:28][cH:27][n:31][cH:30]1,,"[('b', 51, 534)]",457,train,1
20850,Cl[c:1]1[n:2][cH:3][n:4][c:5]([NH2:6])[c:7]1[N+:8](=[O:9])[O-:10].[NH2:11][C@@H:12]1[CH2:13][C@H:14]([CH2:15][OH:16])[C@@H:17]([OH:18])[C@H:19]1[OH:20],[c:1]1([NH:11][C@@H:12]2[CH2:13][C@H:14]([CH2:15][OH:16])[C@@H:17]([OH:18])[C@H:19]2[OH:20])[n:2][cH:3][n:4][c:5]([NH2:6])[c:7]1[N+:8](=[O:9])[O-:10],,"[('b', 1, 545)]",1916,train,1
20851,[CH3:11][c:12]1[n:13][cH:14][c:15]([CH:16]([CH2:17][OH:18])[NH:19][C:20]([c:21]2[cH:22][cH:23][cH:24][cH:25][cH:26]2)([c:27]2[cH:28][cH:29][cH:30][cH:31][cH:32]2)[c:33]2[cH:34][cH:35][cH:36][cH:37][cH:38]2)[s:39]1.Cl[c:1]1[n:2][o:3][c:4]2[cH:5][cH:6][c:7]([Cl:8])[cH:9][c:10]12,[c:1]1([O:18][CH2:17][CH:16]([c:15]2[cH:14][n:13][c:12]([CH3:11])[s:39]2)[NH:19][C:20]([c:21]2[cH:22][cH:23][cH:24][cH:25][cH:26]2)([c:27]2[cH:28][cH:29][cH:30][cH:31][cH:32]2)[c:33]2[cH:34][cH:35][cH:36][cH:37][cH:38]2)[n:2][o:3][c:4]2[cH:5][cH:6][c:7]([Cl:8])[cH:9][c:10]12,,"[('b', 1, 533)]",452,train,1
20852,Cl[c:1]1[n:2][cH:3][c:4]([C:5](=[O:6])[NH:7][c:8]2[cH:9][cH:10][c:11]([O:12][C:13]([F:14])([F:15])[CH:16]([F:17])[F:18])[cH:19][cH:20]2)[cH:21][c:22]1[Br:23].[OH:24][C@@H:25]1[CH2:26][CH2:27][NH:28][CH2:29]1,[c:1]1([N:28]2[CH2:27][CH2:26][C@@H:25]([OH:24])[CH2:29]2)[n:2][cH:3][c:4]([C:5](=[O:6])[NH:7][c:8]2[cH:9][cH:10][c:11]([O:12][C:13]([F:14])([F:15])[CH:16]([F:17])[F:18])[cH:19][cH:20]2)[cH:21][c:22]1[Br:23],,"[('b', 1, 545)]",1916,train,1
20853,[CH3:4][c:5]1[cH:6][cH:7][c:8](-[n:9]2[n:10][cH:11][c:12]([C:13]#[N:14])[c:15]2[NH2:16])[c:17]([Cl:18])[cH:19]1.Cl[C:1]([CH3:2])=[O:3],[C:1]([CH3:2])(=[O:3])[NH:16][c:15]1[n:9](-[c:8]2[cH:7][cH:6][c:5]([CH3:4])[cH:19][c:17]2[Cl:18])[n:10][cH:11][c:12]1[C:13]#[N:14],,"[('b', 5, 546)]",2537,train,1
20854,C[O:1][C:2](=[O:3])[CH2:4][CH2:5][CH2:6][c:7]1[cH:8][s:9][c:10]([NH2:11])[n:12]1,[OH:1][C:2](=[O:3])[CH2:4][CH2:5][CH2:6][c:7]1[cH:8][s:9][c:10]([NH2:11])[n:12]1,,"[('a', 0, 124)]",1797,train,1
20855,[CH3:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][NH:12][C:13](=[O:14])[N:15]([CH3:16])[c:17]1[cH:18][cH:19][cH:20][c:21](-[c:22]2[cH:23][cH:24][c:25]([CH2:26][CH2:27][C:28](=[O:29])[O:30][CH3:31])[cH:32][c:33]2[OH:34])[cH:35]1.I[CH2:1][CH2:2][CH2:3][Cl:4],[CH2:1]([CH2:2][CH2:3][Cl:4])[O:34][c:33]1[c:22](-[c:21]2[cH:20][cH:19][cH:18][c:17]([N:15]([C:13]([NH:12][CH2:11][CH2:10][CH2:9][CH2:8][CH2:7][CH2:6][CH3:5])=[O:14])[CH3:16])[cH:35]2)[cH:23][cH:24][c:25]([CH2:26][CH2:27][C:28](=[O:29])[O:30][CH3:31])[cH:32]1,,"[('b', 7, 525)]",307,train,1
20856,[CH3:5][O:6][c:7]1[cH:8][cH:9][c:10](-[c:11]2[cH:12][cH:13][cH:14][c:15]3[c:16]2[CH2:17][CH2:18][C:19]3=[O:20])[c:21]([OH:22])[c:23]1[O:24][CH2:25][CH:26]1[CH2:27][CH2:28]1.Br[CH2:1][CH:2]([CH3:3])[CH3:4],[CH2:1]([CH:2]([CH3:3])[CH3:4])[O:22][c:21]1[c:10](-[c:11]2[cH:12][cH:13][cH:14][c:15]3[c:16]2[CH2:17][CH2:18][C:19]3=[O:20])[cH:9][cH:8][c:7]([O:6][CH3:5])[c:23]1[O:24][CH2:25][CH:26]1[CH2:27][CH2:28]1,,"[('b', 7, 542)]",924,train,1
20857,C[O:1][C:2]([C:3]1=[CH:4][c:5]2[cH:6][c:7]([CH2:8][CH3:9])[c:10]([O:11][CH3:12])[c:13]([Cl:14])[c:15]2[O:16][CH:17]1[C:18]([F:19])([F:20])[F:21])=[O:22],[OH:1][C:2]([C:3]1=[CH:4][c:5]2[cH:6][c:7]([CH2:8][CH3:9])[c:10]([O:11][CH3:12])[c:13]([Cl:14])[c:15]2[O:16][CH:17]1[C:18]([F:19])([F:20])[F:21])=[O:22],,"[('a', 0, 124)]",1797,train,1
20858,[CH3:12][CH:13]([CH3:14])[CH2:15][CH2:16][NH:17][C:18](=[O:19])[c:20]1[cH:21][cH:22][c:23]([N:24]2[CH2:25][CH2:26][NH:27][CH2:28][CH2:29]2)[n:30][n:31]1.Cl[C:1](=[O:2])[c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1[N+:9](=[O:10])[O-:11],[C:1](=[O:2])([c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1[N+:9](=[O:10])[O-:11])[N:27]1[CH2:26][CH2:25][N:24]([c:23]2[cH:22][cH:21][c:20]([C:18]([NH:17][CH2:16][CH2:15][CH:13]([CH3:12])[CH3:14])=[O:19])[n:31][n:30]2)[CH2:29][CH2:28]1,,"[('b', 21, 546)]",2537,train,1
20859,C[O:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][cH:7][c:8]([NH:9][C:10](=[O:11])[NH:12][CH2:13][C:14](=[O:15])[N:16]2[CH:17]([C:18](=[O:19])[O:20][C:21]([CH3:22])([CH3:23])[CH3:24])[CH2:25][CH:26]([C:27]([CH3:28])=[O:29])[CH:30]2[c:31]2[cH:32][cH:33][cH:34][cH:35][cH:36]2)[cH:37]1,[OH:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][cH:7][c:8]([NH:9][C:10](=[O:11])[NH:12][CH2:13][C:14](=[O:15])[N:16]2[CH:17]([C:18](=[O:19])[O:20][C:21]([CH3:22])([CH3:23])[CH3:24])[CH2:25][CH:26]([C:27]([CH3:28])=[O:29])[CH:30]2[c:31]2[cH:32][cH:33][cH:34][cH:35][cH:36]2)[cH:37]1,,"[('a', 0, 124)]",1797,train,1
20860,CON(C)[C:1](=[O:2])[c:3]1[o:4][c:5]([CH3:6])[n:7][c:8]1[CH3:9].[Mg+][CH:10]([CH3:11])[CH3:12],[C:1](=[O:2])([c:3]1[o:4][c:5]([CH3:6])[n:7][c:8]1[CH3:9])[CH:10]([CH3:11])[CH3:12],,"[('b', 17, 457)]",33,train,1
20861,[CH3:13][C:14]([CH3:15])([CH3:16])[O:17][C:18](=[O:19])[N:20]1[C@H:21]([CH2:22][NH2:23])[CH2:24][C@@H:25]2[CH2:26][C@H:27]12.O[C:1](=[O:2])[c:3]1[cH:4][cH:5][cH:6][c:7]2[c:8]1[O:9][CH2:10][CH2:11][O:12]2,[C:1](=[O:2])([c:3]1[cH:4][cH:5][cH:6][c:7]2[c:8]1[O:9][CH2:10][CH2:11][O:12]2)[NH:23][CH2:22][C@H:21]1[N:20]([C:18]([O:17][C:14]([CH3:13])([CH3:15])[CH3:16])=[O:19])[C@@H:27]2[C@H:25]([CH2:24]1)[CH2:26]2,,"[('b', 23, 547)]",4537,train,1
20862,[O:8]=[c:9]1[cH:10][c:11]([OH:12])[cH:13][cH:14][n:15]1[CH2:16][CH2:17][c:18]1[cH:19][cH:20][c:21]([CH2:22][OH:23])[cH:24][cH:25]1.Cl[CH2:1][c:2]1[cH:3][cH:4][cH:5][n:6][n:7]1,[CH2:1]([c:2]1[cH:3][cH:4][cH:5][n:6][n:7]1)[O:12][c:11]1[cH:10][c:9](=[O:8])[n:15]([CH2:16][CH2:17][c:18]2[cH:19][cH:20][c:21]([CH2:22][OH:23])[cH:24][cH:25]2)[cH:14][cH:13]1,,"[('b', 13, 538)]",782,train,1
20863,[CH3:4][C:5]1([CH3:6])[CH2:7][CH2:8][NH:9][c:10]2[c:11]([CH2:12][CH2:13][N:14]3[CH2:15][CH2:16][N:17]([c:18]4[n:19][s:20][c:21]5[cH:22][cH:23][cH:24][cH:25][c:26]45)[CH2:27][CH2:28]3)[cH:29][cH:30][cH:31][c:32]21.Cl[C:1]([CH3:2])=[O:3],[C:1]([CH3:2])(=[O:3])[N:9]1[CH2:8][CH2:7][C:5]([CH3:4])([CH3:6])[c:32]2[c:10]1[c:11]([CH2:12][CH2:13][N:14]1[CH2:15][CH2:16][N:17]([c:18]3[n:19][s:20][c:21]4[cH:22][cH:23][cH:24][cH:25][c:26]34)[CH2:27][CH2:28]1)[cH:29][cH:30][cH:31]2,,"[('b', 5, 546)]",2537,train,1
20864,OB(O)[c:13]1[cH:14][cH:15][c:16]([O:17][CH3:18])[c:19]([C:20]([F:21])([F:22])[F:23])[cH:24]1.Cl[c:1]1[n:2][c:3]([C:4]#[N:5])[c:6]([N+:7](=[O:8])[O-:9])[c:10]([NH2:11])[cH:12]1,[c:1]1(-[c:13]2[cH:14][cH:15][c:16]([O:17][CH3:18])[c:19]([C:20]([F:21])([F:22])[F:23])[cH:24]2)[n:2][c:3]([C:4]#[N:5])[c:6]([N+:7](=[O:8])[O-:9])[c:10]([NH2:11])[cH:12]1,,"[('b', 0, 518)]",245,train,1
20865,O=[C:1]1[CH2:2][CH2:3][C@@H:4]([c:5]2[cH:6][cH:7][c:8]([C:9]([O:10][CH3:11])=[O:12])[cH:13][cH:14]2)[CH2:15]1.[CH3:16][O:17][c:18]1[cH:19][c:20]([C@@H:21]([CH3:22])[NH2:23])[cH:24][cH:25][c:26]1[F:27],[C@H:1]1([NH:23][C@@H:21]([c:20]2[cH:19][c:18]([O:17][CH3:16])[c:26]([F:27])[cH:25][cH:24]2)[CH3:22])[CH2:2][CH2:3][C@@H:4]([c:5]2[cH:6][cH:7][c:8]([C:9]([O:10][CH3:11])=[O:12])[cH:13][cH:14]2)[CH2:15]1,,"[('b', 1, 544)]",1299,train,1
20866,OB(O)[c:11]1[cH:12][cH:13][cH:14][c:15]([CH2:16][N:17]([CH3:18])[S:19]([CH3:20])(=[O:21])=[O:22])[cH:23]1.Br[c:1]1[c:2]2[n:3][c:4]([Cl:5])[n:6][n:7]2[cH:8][cH:9][cH:10]1,[c:1]1(-[c:11]2[cH:12][cH:13][cH:14][c:15]([CH2:16][N:17]([CH3:18])[S:19]([CH3:20])(=[O:21])=[O:22])[cH:23]2)[c:2]2[n:3][c:4]([Cl:5])[n:6][n:7]2[cH:8][cH:9][cH:10]1,,"[('b', 0, 541)]",900,train,1
20867,[CH3:11][C:12]([CH3:13])([CH3:14])[O:15][C:16](=[O:17])[n:18]1[c:19](-[c:20]2[cH:21][cH:22][c:23]([OH:24])[c:25]3[c:26]2[C:27](=[O:28])[NH:29][CH2:30]3)[cH:31][c:32]2[cH:33][c:34]([CH2:35][N:36]3[CH2:37][CH2:38][CH2:39][CH2:40][CH2:41]3)[cH:42][cH:43][c:44]12.Cl[S:1](=[O:2])(=[O:3])[c:4]1[cH:5][cH:6][cH:7][c:8]([Cl:9])[cH:10]1,[S:1](=[O:2])(=[O:3])([c:4]1[cH:5][cH:6][cH:7][c:8]([Cl:9])[cH:10]1)[O:24][c:23]1[cH:22][cH:21][c:20](-[c:19]2[n:18]([C:16]([O:15][C:12]([CH3:11])([CH3:13])[CH3:14])=[O:17])[c:44]3[c:32]([cH:31]2)[cH:33][c:34]([CH2:35][N:36]2[CH2:37][CH2:38][CH2:39][CH2:40][CH2:41]2)[cH:42][cH:43]3)[c:26]2[c:25]1[CH2:30][NH:29][C:27]2=[O:28],,"[('b', 19, 527)]",366,train,1
20868,Cl[CH2:1][C:2](=[O:3])[NH:4][c:5]1[cH:6][cH:7][cH:8][c:9]([Cl:10])[c:11]1[Cl:12].[cH:13]1[cH:14][cH:15][c:16]([N:17]2[CH2:18][CH2:19][NH:20][CH2:21][CH2:22]2)[n:23][cH:24]1,[CH2:1]([C:2](=[O:3])[NH:4][c:5]1[cH:6][cH:7][cH:8][c:9]([Cl:10])[c:11]1[Cl:12])[N:20]1[CH2:19][CH2:18][N:17]([c:16]2[cH:15][cH:14][cH:13][cH:24][n:23]2)[CH2:22][CH2:21]1,,"[('b', 23, 546)]",2537,train,1
20869,[O:1]=[C:2]1[CH:3]([CH2:4][c:5]2[cH:6][cH:7][cH:8][cH:9][cH:10]2)[NH:11][C:12]2([CH2:13][CH2:14][NH:15][CH2:16][CH2:17]2)[N:18]1[CH2:19][c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1.[S:26]=[C:27]=[N:28][c:29]1[cH:30][cH:31][cH:32][cH:33][cH:34]1,[O:1]=[C:2]1[CH:3]([CH2:4][c:5]2[cH:6][cH:7][cH:8][cH:9][cH:10]2)[NH:11][C:12]2([CH2:13][CH2:14][N:15]([C:27](=[S:26])[NH:28][c:29]3[cH:30][cH:31][cH:32][cH:33][cH:34]3)[CH2:16][CH2:17]2)[N:18]1[CH2:19][c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1,,"[('b', 28, 536)]",566,train,1
20870,CC(C)(C)OC(=O)[N:1]1[CH2:2][CH2:3][CH:4]([n:5]2[cH:6][c:7](-[c:8]3[cH:9][n:10][c:11]([NH2:12])[c:13](-[c:14]4[n:15][c:16]5[cH:17][cH:18][cH:19][cH:20][c:21]5[o:22]4)[cH:23]3)[n:24][n:25]2)[CH2:26][CH2:27]1,[NH:1]1[CH2:2][CH2:3][CH:4]([n:5]2[cH:6][c:7](-[c:8]3[cH:9][n:10][c:11]([NH2:12])[c:13](-[c:14]4[n:15][c:16]5[cH:17][cH:18][cH:19][cH:20][c:21]5[o:22]4)[cH:23]3)[n:24][n:25]2)[CH2:26][CH2:27]1,,"[('a', 0, 123)]",1493,train,1
20871,[CH3:12][CH2:13][CH2:14][CH2:15][n:16]1[c:17](=[O:18])[n:19]([CH2:20][c:21]2[cH:22][cH:23][cH:24][cH:25][c:26]2[F:27])[c:28](=[O:29])[c:30]2[nH:31][c:32]([CH2:33][c:34]3[cH:35][cH:36][c:37]([NH2:38])[cH:39][cH:40]3)[n:41][c:42]12.Cl[S:1]([c:2]1[c:3]([CH3:4])[cH:5][cH:6][c:7]([CH3:8])[cH:9]1)(=[O:10])=[O:11],[S:1]([c:2]1[c:3]([CH3:4])[cH:5][cH:6][c:7]([CH3:8])[cH:9]1)(=[O:10])(=[O:11])[NH:38][c:37]1[cH:36][cH:35][c:34]([CH2:33][c:32]2[nH:31][c:30]3[c:28](=[O:29])[n:19]([CH2:20][c:21]4[cH:22][cH:23][cH:24][cH:25][c:26]4[F:27])[c:17](=[O:18])[n:16]([CH2:15][CH2:14][CH2:13][CH3:12])[c:42]3[n:41]2)[cH:40][cH:39]1,,"[('b', 21, 540)]",828,train,1
20872,[CH3:2][C:3]1([CH3:4])[C:5](=[O:6])[NH:7][c:8]2[cH:9][cH:10][c:11]([CH2:12][O:13][C:14](=[O:15])[N:16]3[CH2:17][CH2:18][N:19]([CH2:20][C@@:21]4([CH3:22])[CH2:23][n:24]5[cH:25][c:26]([N+:27](=[O:28])[O-:29])[n:30][c:31]5[O:32]4)[CH2:33][CH2:34]3)[cH:35][c:36]21.I[CH3:1],[CH3:1][N:7]1[C:5](=[O:6])[C:3]([CH3:2])([CH3:4])[c:36]2[c:8]1[cH:9][cH:10][c:11]([CH2:12][O:13][C:14](=[O:15])[N:16]1[CH2:17][CH2:18][N:19]([CH2:20][C@@:21]3([CH3:22])[CH2:23][n:24]4[cH:25][c:26]([N+:27](=[O:28])[O-:29])[n:30][c:31]4[O:32]3)[CH2:33][CH2:34]1)[cH:35]2,,"[('b', 1, 519)]",258,train,1
20873,O=[C:1]1[c:2]2[c:3]([S:4][CH3:5])[o:6][c:7]([C:8]([O:9][CH2:10][CH3:11])=[O:12])[c:13]2[CH2:14][CH2:15][CH:16]1Br.[NH2:17][C:18](=[S:19])[c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1,[c:1]12[c:16]([s:19][c:18](-[c:20]3[cH:21][cH:22][cH:23][cH:24][cH:25]3)[n:17]1)[CH2:15][CH2:14][c:13]1[c:2]-2[c:3]([S:4][CH3:5])[o:6][c:7]1[C:8]([O:9][CH2:10][CH3:11])=[O:12],,"[('b', 49, 454), ('b', 2, 454)]",32,train,1
20874,[CH3:8][O:9][c:10]1[cH:11][n:12][cH:13][c:14]([NH2:15])[cH:16]1.O=[CH:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1,[CH:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)=[N:15][c:14]1[cH:13][n:12][cH:11][c:10]([O:9][CH3:8])[cH:16]1,,"[('b', 13, 531)]",446,train,1
20875,Br[c:1]1[cH:2][c:3]2[o:4][n:5][c:6](-[c:7]3[cH:8][cH:9][c:10]([OH:11])[cH:12][cH:13]3)[c:14]2[cH:15][cH:16]1.OB(O)[c:17]1[c:18]([CH3:19])[c:20]([F:21])[cH:22][c:23]([C:24](=[O:25])[NH:26][CH:27]2[CH2:28][CH2:29]2)[cH:30]1,[c:1]1(-[c:17]2[c:18]([CH3:19])[c:20]([F:21])[cH:22][c:23]([C:24](=[O:25])[NH:26][CH:27]3[CH2:28][CH2:29]3)[cH:30]2)[cH:2][c:3]2[o:4][n:5][c:6](-[c:7]3[cH:8][cH:9][c:10]([OH:11])[cH:12][cH:13]3)[c:14]2[cH:15][cH:16]1,,"[('b', 0, 541)]",900,train,1
20876,I[CH2:1][CH2:2][CH:3]1[CH2:4][CH2:5][N:6]([C:7]([O:8][C:9]([CH3:10])([CH3:11])[CH3:12])=[O:13])[CH2:14][CH2:15]1.[N-:16]=[N+:17]=[N-:18],[CH2:1]([CH2:2][CH:3]1[CH2:4][CH2:5][N:6]([C:7]([O:8][C:9]([CH3:10])([CH3:11])[CH3:12])=[O:13])[CH2:14][CH2:15]1)[N:16]=[N+:17]=[N-:18],,"[('b', 29, 431)]",24,train,1
20877,Cl[c:1]1[cH:2][n:3][c:4]2[cH:5][cH:6][c:7]([Cl:8])[cH:9][c:10]2[n:11]1.[NH3:12],[c:1]1([NH2:12])[cH:2][n:3][c:4]2[cH:5][cH:6][c:7]([Cl:8])[cH:9][c:10]2[n:11]1,,"[('b', 1, 545)]",1916,train,1
20878,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C:7](=[O:8])[c:9]2[cH:10][c:11]([O:12][CH3:13])[c:14]([O:15][CH3:16])[c:17]([O:18][CH3:19])[cH:20]2)[cH:21][cH:22]1,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH:7]([OH:8])[c:9]2[cH:10][c:11]([O:12][CH3:13])[c:14]([O:15][CH3:16])[c:17]([O:18][CH3:19])[cH:20]2)[cH:21][cH:22]1,,"[('b', 12, 537), ('b', 13, 537)]",573,train,1
20879,O=[CH:1][CH2:2][CH:3]([CH2:4][C:5](=[O:6])[n:7]1[cH:8][cH:9][c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]12)[c:16]1[cH:17][cH:18][c:19]([Cl:20])[c:21]([Cl:22])[cH:23]1.[OH:24][C:25]1([c:26]2[cH:27][cH:28][cH:29][cH:30][cH:31]2)[CH2:32][CH2:33][NH:34][CH2:35][CH2:36]1,[CH2:1]([CH2:2][CH:3]([CH2:4][C:5](=[O:6])[n:7]1[cH:8][cH:9][c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]12)[c:16]1[cH:17][cH:18][c:19]([Cl:20])[c:21]([Cl:22])[cH:23]1)[N:34]1[CH2:33][CH2:32][C:25]([OH:24])([c:26]2[cH:27][cH:28][cH:29][cH:30][cH:31]2)[CH2:36][CH2:35]1,,"[('b', 45, 544)]",1299,train,1
20880,Br[c:1]1[cH:2][n:3]([S:4]([c:5]2[cH:6][cH:7][c:8]([CH3:9])[cH:10][cH:11]2)(=[O:12])=[O:13])[c:14]2[c:15]1[cH:16][c:17]([Cl:18])[cH:19][n:20]2.CC1(C)OB([B:25]2[O:24][C:22]([CH3:21])([CH3:23])[C:27]([CH3:28])([CH3:29])[O:26]2)OC1(C)C,[c:1]1([B:25]2[O:24][C:22]([CH3:21])([CH3:23])[C:27]([CH3:28])([CH3:29])[O:26]2)[cH:2][n:3]([S:4]([c:5]2[cH:6][cH:7][c:8]([CH3:9])[cH:10][cH:11]2)(=[O:12])=[O:13])[c:14]2[c:15]1[cH:16][c:17]([Cl:18])[cH:19][n:20]2,,"[('b', 0, 453)]",32,train,1
20881,[O:2]=[CH:3][c:4]1[cH:5][c:6](/[CH:7]=[CH:8]/[C:9](=[O:10])[NH:11][CH:12]2[CH2:13][CH2:14][c:15]3[cH:16][cH:17][cH:18][cH:19][c:20]32)[cH:21][cH:22][c:23]1-[n:24]1[cH:25][cH:26][n:27][cH:28]1.[Mg+][CH3:1],[CH3:1][CH:3]([OH:2])[c:4]1[cH:5][c:6](/[CH:7]=[CH:8]/[C:9](=[O:10])[NH:11][CH:12]2[CH2:13][CH2:14][c:15]3[cH:16][cH:17][cH:18][cH:19][c:20]32)[cH:21][cH:22][c:23]1-[n:24]1[cH:25][cH:26][n:27][cH:28]1,,"[('b', 0, 511)]",153,train,1
