,Reactants,Products,Reagents,Labels,Frequency
22307,c1ccc(C[O:1][C:2]([c:3]2[cH:4][c:5]3[cH:6][cH:7][n:8]([CH2:9][C:10]([O:11][C:12]([CH3:13])([CH3:14])[CH3:15])=[O:16])[c:17]3[cH:18][cH:19]2)=[O:20])cc1,[OH:1][C:2]([c:3]1[cH:4][c:5]2[cH:6][cH:7][n:8]([CH2:9][C:10]([O:11][C:12]([CH3:13])([CH3:14])[CH3:15])=[O:16])[c:17]2[cH:18][cH:19]1)=[O:20],,"[('a', 0, 118)]",385
22308,O[C:1]([c:2]1[cH:3][c:4](-[c:5]2[c:6]([O:7][CH3:8])[cH:9][cH:10][cH:11][cH:12]2)[o:13][c:14]1[CH3:15])=[O:16].[CH3:17][O:18][c:19]1[cH:20][cH:21][c:22]([CH2:23][N:24]([CH3:25])[NH2:26])[cH:27][cH:28]1,[C:1]([c:2]1[cH:3][c:4](-[c:5]2[c:6]([O:7][CH3:8])[cH:9][cH:10][cH:11][cH:12]2)[o:13][c:14]1[CH3:15])(=[O:16])[NH:26][N:24]([CH2:23][c:22]1[cH:21][cH:20][c:19]([O:18][CH3:17])[cH:28][cH:27]1)[CH3:25],,"[('b', 31, 533)]",4537
22309,O[C:1]([c:2]1[cH:3][cH:4][c:5](/[C:6]([S:7][CH3:8])=[N:9]/[CH2:10][Si:11]([CH3:12])([CH3:13])[CH3:14])[cH:15][c:16]1[CH3:17])=[O:18].[NH2:19][CH:20]1[CH2:21][S:22][CH2:23]1,[C:1]([c:2]1[cH:3][cH:4][c:5]([C:6]([S:7][CH3:8])=[N:9][CH2:10][Si:11]([CH3:12])([CH3:13])[CH3:14])[cH:15][c:16]1[CH3:17])(=[O:18])[NH:19][CH:20]1[CH2:21][S:22][CH2:23]1,,"[('b', 35, 533)]",4537
22310,Cl[C:1](=[O:2])[c:3]1[c:4]([F:5])[cH:6][cH:7][cH:8][c:9]1[F:10].[NH2:11][c:12]1[cH:13][n:14][c:15]([Br:16])[cH:17][n:18]1,[C:1](=[O:2])([c:3]1[c:4]([F:5])[cH:6][cH:7][cH:8][c:9]1[F:10])[NH:11][c:12]1[cH:13][n:14][c:15]([Br:16])[cH:17][n:18]1,,"[('b', 19, 532)]",2537
22311,[O:8]=[C:9]([OH:10])[CH2:11][CH2:12][c:13]1[cH:14][nH:15][c:16]2[cH:17][cH:18][c:19]([Cl:20])[cH:21][c:22]12.I[c:1]1[cH:2][cH:3][c:4]([F:5])[cH:6][cH:7]1,[c:1]1(-[n:15]2[cH:14][c:13]([CH2:12][CH2:11][C:9](=[O:8])[OH:10])[c:22]3[c:16]2[cH:17][cH:18][c:19]([Cl:20])[cH:21]3)[cH:2][cH:3][c:4]([F:5])[cH:6][cH:7]1,,"[('b', 1, 458)]",42
22312,Br[CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][O:6][c:7]1[c:8]([O:9][CH3:10])[cH:11][cH:12][c:13]2[c:14]1[o:15][c:16](=[O:17])[cH:18][c:19]2[NH:20][c:21]1[c:22]([Cl:23])[cH:24][n:25][cH:26][c:27]1[Cl:28].[CH2:29]1[CH2:30][O:31][CH2:32][CH2:33][NH:34]1,[CH2:1]([CH2:2][CH2:3][CH2:4][CH2:5][O:6][c:7]1[c:8]([O:9][CH3:10])[cH:11][cH:12][c:13]2[c:14]1[o:15][c:16](=[O:17])[cH:18][c:19]2[NH:20][c:21]1[c:22]([Cl:23])[cH:24][n:25][cH:26][c:27]1[Cl:28])[N:34]1[CH2:29][CH2:30][O:31][CH2:32][CH2:33]1,,"[('b', 55, 529)]",955
22313,[CH3:5][CH2:6][C:7](=[O:8])[C:9]1=[C:10]([OH:11])[CH2:12][CH:13]([c:14]2[c:15]([CH3:16])[cH:17][c:18]([CH3:19])[c:20]([NH2:21])[c:22]2[CH3:23])[CH2:24][C:25]1=[O:26].Cl[S:1]([CH3:2])(=[O:3])=[O:4],[S:1]([CH3:2])(=[O:3])(=[O:4])[NH:21][c:20]1[c:18]([CH3:19])[cH:17][c:15]([CH3:16])[c:14]([CH:13]2[CH2:12][C:10]([OH:11])=[C:9]([C:7]([CH2:6][CH3:5])=[O:8])[C:25](=[O:26])[CH2:24]2)[c:22]1[CH3:23],,"[('b', 7, 526)]",828
22314,C[O:1][C:2](=[O:3])[CH2:4][O:5][c:6]1[cH:7][cH:8][c:9]([S:10][CH2:11][c:12]2[cH:13][cH:14][cH:15][c:16]([O:17][CH2:18][c:19]3[cH:20][cH:21][c:22]([C:23]([F:24])([F:25])[F:26])[cH:27][cH:28]3)[cH:29]2)[c:30]2[c:31]1[CH2:32][CH2:33][CH2:34]2,[OH:1][C:2](=[O:3])[CH2:4][O:5][c:6]1[cH:7][cH:8][c:9]([S:10][CH2:11][c:12]2[cH:13][cH:14][cH:15][c:16]([O:17][CH2:18][c:19]3[cH:20][cH:21][c:22]([C:23]([F:24])([F:25])[F:26])[cH:27][cH:28]3)[cH:29]2)[c:30]2[c:31]1[CH2:32][CH2:33][CH2:34]2,,"[('a', 0, 123)]",1797
22315,Cl[c:1]1[n:2][c:3]([NH:4][CH2:5][c:6]2[cH:7][cH:8][c:9]([O:10][CH3:11])[c:12]([O:13][CH3:14])[cH:15]2)[c:16]2[c:17]([n:18]1)[s:19][cH:20][c:21]2[CH3:22].[cH:23]1[cH:24][nH:25][cH:26][n:27]1,[c:1]1(-[n:25]2[cH:24][cH:23][n:27][cH:26]2)[n:2][c:3]([NH:4][CH2:5][c:6]2[cH:7][cH:8][c:9]([O:10][CH3:11])[c:12]([O:13][CH3:14])[cH:15]2)[c:16]2[c:17]([n:18]1)[s:19][cH:20][c:21]2[CH3:22],,"[('b', 1, 487)]",91
22316,[CH3:1][O:2][C:3](=[O:4])[CH2:5][n:6]1[n:7][n:8][n:9][c:10]1/[CH:11]=[C:12]1\[CH2:13][N:14]([C:15]([c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)([c:22]2[cH:23][cH:24][cH:25][cH:26][cH:27]2)[c:28]2[cH:29][cH:30][cH:31][cH:32][cH:33]2)[CH2:34][CH2:35][C:36]1=[O:37],[CH3:1][O:2][C:3](=[O:4])[CH2:5][n:6]1[n:7][n:8][n:9][c:10]1/[CH:11]=[C:12]1\[CH2:13][N:14]([C:15]([c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)([c:22]2[cH:23][cH:24][cH:25][cH:26][cH:27]2)[c:28]2[cH:29][cH:30][cH:31][cH:32][cH:33]2)[CH2:34][CH2:35][CH:36]1[OH:37],,"[('b', 70, 523), ('b', 71, 523)]",573
22317,c1ccc(C[O:1][C:2]([c:3]2[cH:4][cH:5][c:6]([O:7][CH2:8][CH2:9][O:10][C:11]([CH3:12])=[O:13])[cH:14][c:15]2[Cl:16])=[O:17])cc1,[OH:1][C:2]([c:3]1[cH:4][cH:5][c:6]([O:7][CH2:8][CH2:9][O:10][C:11]([CH3:12])=[O:13])[cH:14][c:15]1[Cl:16])=[O:17],,"[('a', 0, 118)]",385
22318,[CH3:5][C:6]1([CH2:7][OH:8])[CH2:9][C:10]([F:11])([F:12])[CH2:13]1.Cl[S:1]([CH3:2])(=[O:3])=[O:4],[S:1]([CH3:2])(=[O:3])(=[O:4])[O:8][CH2:7][C:6]1([CH3:5])[CH2:9][C:10]([F:11])([F:12])[CH2:13]1,,"[('b', 7, 514)]",366
22319,I[c:11]1[c:12]([NH:13][c:14]2[c:15]([CH3:16])[c:17](-[c:18]3[cH:19][cH:20][cH:21][cH:22][n:23]3)[n:24][c:25]3[cH:26][c:27]([F:28])[cH:29][c:30]([F:31])[c:32]23)[cH:33][c:34]([N:35]2[CH2:36][CH2:37][O:38][CH2:39][CH2:40]2)[n:41][cH:42]1.CC1(C)OB([c:1]2[cH:2][c:3]([CH:4]([F:5])[F:6])[cH:7][cH:8][c:9]2[F:10])OC1(C)C,[c:1]1(-[c:11]2[c:12]([NH:13][c:14]3[c:15]([CH3:16])[c:17](-[c:18]4[cH:19][cH:20][cH:21][cH:22][n:23]4)[n:24][c:25]4[cH:26][c:27]([F:28])[cH:29][c:30]([F:31])[c:32]34)[cH:33][c:34]([N:35]3[CH2:36][CH2:37][O:38][CH2:39][CH2:40]3)[n:41][cH:42]2)[cH:2][c:3]([CH:4]([F:5])[F:6])[cH:7][cH:8][c:9]1[F:10],,"[('b', 1, 486)]",88
22320,CC(C)(C)OC(=O)[NH:1][CH:2]1[CH2:3][CH2:4][N:5]([CH:6]2[CH2:7][CH2:8][CH:9]([O:10][CH3:11])[CH2:12][CH2:13]2)[CH2:14][CH2:15]1,[NH2:1][CH:2]1[CH2:3][CH2:4][N:5]([C@H:6]2[CH2:7][CH2:8][C@H:9]([O:10][CH3:11])[CH2:12][CH2:13]2)[CH2:14][CH2:15]1,,"[('a', 0, 122)]",1493
22321,Cl[c:1]1[c:2]([C:3](=[O:4])[CH:5]2[CH2:6][CH2:7]2)[cH:8][n:9][c:10]2[cH:11][cH:12][c:13]([Br:14])[cH:15][c:16]12.[NH2:17][c:18]1[cH:19][cH:20][c:21]([CH2:22][N:23]2[CH2:24][CH2:25][CH2:26][CH2:27]2)[cH:28][cH:29]1,[c:1]1([NH:17][c:18]2[cH:19][cH:20][c:21]([CH2:22][N:23]3[CH2:24][CH2:25][CH2:26][CH2:27]3)[cH:28][cH:29]2)[c:2]([C:3](=[O:4])[CH:5]2[CH2:6][CH2:7]2)[cH:8][n:9][c:10]2[cH:11][cH:12][c:13]([Br:14])[cH:15][c:16]12,,"[('b', 1, 531)]",1916
22322,[CH3:12][C:13]1([CH3:14])[O:15][CH2:16][c:17]2[cH:18][c:19]([C@@H:20]3[CH2:21][N:22]([CH2:23][CH2:24][c:25]4[cH:26][cH:27][c:28]5[c:29]([cH:30]4)[O:31][C@H:32]([CH2:33][OH:34])[CH2:35][O:36]5)[C:37](=[O:38])[O:39]3)[cH:40][cH:41][c:42]2[O:43]1.Br[CH2:1][c:2]1[cH:3][cH:4][cH:5][c:6]([NH:7][C:8]([NH2:9])=[O:10])[cH:11]1,[CH2:1]([c:2]1[cH:3][cH:4][cH:5][c:6]([NH:7][C:8]([NH2:9])=[O:10])[cH:11]1)[O:34][CH2:33][C@H:32]1[O:31][c:29]2[c:28]([cH:27][cH:26][c:25]([CH2:24][CH2:23][N:22]3[CH2:21][C@@H:20]([c:19]4[cH:18][c:17]5[c:42]([cH:41][cH:40]4)[O:43][C:13]([CH3:12])([CH3:14])[O:15][CH2:16]5)[O:39][C:37]3=[O:38])[cH:30]2)[O:36][CH2:35]1,,"[('b', 21, 528)]",924
22323,Br[c:1]1[cH:2][c:3]2[c:4]3[c:5]([c:6]([CH3:7])[n:8]([CH:9]4[CH2:10][CH2:11][CH2:12][CH2:13][O:14]4)[n:15]3)[c:16](=[O:17])[n:18]([CH2:19][CH2:20][CH2:21][NH:22][C:23](=[O:24])[O:25][C:26]([CH3:27])([CH3:28])[CH3:29])[c:30]2[cH:31][cH:32]1.OB(O)[c:33]1[cH:34][cH:35][c:36]([C:37]#[N:38])[cH:39][cH:40]1,[c:1]1(-[c:33]2[cH:34][cH:35][c:36]([C:37]#[N:38])[cH:39][cH:40]2)[cH:2][c:3]2[c:4]3[c:5]([c:6]([CH3:7])[n:8]([CH:9]4[CH2:10][CH2:11][CH2:12][CH2:13][O:14]4)[n:15]3)[c:16](=[O:17])[n:18]([CH2:19][CH2:20][CH2:21][NH:22][C:23](=[O:24])[O:25][C:26]([CH3:27])([CH3:28])[CH3:29])[c:30]2[cH:31][cH:32]1,,"[('b', 0, 527)]",900
22324,[CH3:5][C:6]([CH3:7])([CH3:8])[O:9][C:10](=[O:11])[NH:12][C@H:13]([CH2:14][OH:15])[CH2:16][C:17]1([F:18])[CH2:19][CH2:20][CH2:21][CH2:22][CH2:23]1.Cl[S:1]([CH3:2])(=[O:3])=[O:4],[S:1]([CH3:2])(=[O:3])(=[O:4])[O:15][CH2:14][C@@H:13]([NH:12][C:10]([O:9][C:6]([CH3:5])([CH3:7])[CH3:8])=[O:11])[CH2:16][C:17]1([F:18])[CH2:19][CH2:20][CH2:21][CH2:22][CH2:23]1,,"[('b', 7, 514)]",366
22325,O[CH:1]([CH2:2][CH2:3][CH2:4][CH2:5][N:6]1[CH2:7][CH2:8][CH:9]([c:10]2[cH:11][cH:12][cH:13][c:14]([NH:15][C:16]([CH:17]([CH3:18])[CH3:19])=[O:20])[cH:21]2)[CH2:22][CH2:23]1)[c:24]1[cH:25][cH:26][c:27]([F:28])[cH:29][cH:30]1.[OH:31][c:32]1[cH:33][cH:34][c:35]([Cl:36])[cH:37][cH:38]1,[CH:1]([CH2:2][CH2:3][CH2:4][CH2:5][N:6]1[CH2:7][CH2:8][CH:9]([c:10]2[cH:11][cH:12][cH:13][c:14]([NH:15][C:16]([CH:17]([CH3:18])[CH3:19])=[O:20])[cH:21]2)[CH2:22][CH2:23]1)([c:24]1[cH:25][cH:26][c:27]([F:28])[cH:29][cH:30]1)[O:31][c:32]1[cH:33][cH:34][c:35]([Cl:36])[cH:37][cH:38]1,,"[('b', 59, 525)]",804
22326,[CH3:10][CH:11]([CH3:12])[O:13][C:14](=[O:15])[NH:16][C@@H:17]1[CH2:18][c:19]2[nH:20][c:21]3[cH:22][cH:23][c:24]([C:25]#[N:26])[cH:27][c:28]3[c:29]2[CH2:30]1.Cl[CH2:1][c:2]1[c:3]([O:4][CH3:5])[cH:6][cH:7][cH:8][cH:9]1,[CH2:1]([c:2]1[c:3]([O:4][CH3:5])[cH:6][cH:7][cH:8][cH:9]1)[n:20]1[c:19]2[c:29]([c:28]3[c:21]1[cH:22][cH:23][c:24]([C:25]#[N:26])[cH:27]3)[CH2:30][C@H:17]([NH:16][C:14]([O:13][CH:11]([CH3:10])[CH3:12])=[O:15])[CH2:18]2,,"[('b', 17, 511)]",307
22327,O=[N+:1]([O-])[c:2]1[c:3]([CH3:4])[c:5]([N:6]([CH2:7][c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[CH2:14][c:15]2[cH:16][cH:17][c:18]([O:19][c:20]3[cH:21][cH:22][cH:23][c:24]([O:25][CH2:26][C@@H:27]4[CH2:28][CH2:29][C:30](=[O:31])[NH:32]4)[cH:33]3)[cH:34][cH:35]2)[cH:36][cH:37][cH:38]1,[NH2:1][c:2]1[c:3]([CH3:4])[c:5]([N:6]([CH2:7][c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[CH2:14][c:15]2[cH:16][cH:17][c:18]([O:19][c:20]3[cH:21][cH:22][cH:23][c:24]([O:25][CH2:26][C@@H:27]4[CH2:28][CH2:29][C:30](=[O:31])[NH:32]4)[cH:33]3)[cH:34][cH:35]2)[cH:36][cH:37][cH:38]1,,"[('a', 0, 121)]",1277
22328,CC(C)(C)O[C:1]([CH2:2][C:3]([c:4]1[cH:5][cH:6][cH:7][c:8](-[c:9]2[cH:10][c:11]([CH3:12])[n:13][c:14]([CH3:15])[cH:16]2)[cH:17]1)=[O:18])=[O:19].[CH3:20][CH2:21][CH2:22][O:23][c:24]1[cH:25][c:26]([NH:27][C:28](=[O:29])[O:30][C:31]([CH3:32])([CH3:33])[CH3:34])[c:35]([NH2:36])[cH:37][c:38]1[C:39]([F:40])([F:41])[F:42],[C:1]([CH2:2][C:3]([c:4]1[cH:5][cH:6][cH:7][c:8](-[c:9]2[cH:10][c:11]([CH3:12])[n:13][c:14]([CH3:15])[cH:16]2)[cH:17]1)=[O:18])(=[O:19])[NH:36][c:35]1[c:26]([NH:27][C:28](=[O:29])[O:30][C:31]([CH3:32])([CH3:33])[CH3:34])[cH:25][c:24]([O:23][CH2:22][CH2:21][CH3:20])[c:38]([C:39]([F:40])([F:41])[F:42])[cH:37]1,,"[('b', 37, 455)]",42
22329,Cl[c:1]1[c:2]2[cH:3][c:4]([O:5][CH3:6])[c:7]([O:8][CH2:9][CH:10]3[CH2:11][CH2:12][N:13]([CH3:14])[CH2:15][CH2:16]3)[cH:17][c:18]2[n:19][cH:20][n:21]1.[CH3:22][c:23]1[cH:24][cH:25][n:26][c:27]2[cH:28][c:29]([OH:30])[cH:31][cH:32][c:33]12,[c:1]1([O:30][c:29]2[cH:28][c:27]3[n:26][cH:25][cH:24][c:23]([CH3:22])[c:33]3[cH:32][cH:31]2)[c:2]2[cH:3][c:4]([O:5][CH3:6])[c:7]([O:8][CH2:9][CH:10]3[CH2:11][CH2:12][N:13]([CH3:14])[CH2:15][CH2:16]3)[cH:17][c:18]2[n:19][cH:20][n:21]1,,"[('b', 1, 519)]",452
22330,Cl[c:1]1[n:2][c:3]([F:4])[cH:5][c:6](-[c:7]2[cH:8][n:9][c:10]3[cH:11][cH:12][c:13]([NH:14][CH:15]4[CH2:16][CH2:17][CH2:18][CH:19]([OH:20])[CH2:21]4)[cH:22][n:23]23)[cH:24]1.OB(O)[c:25]1[cH:26][cH:27][o:28][cH:29]1,[c:1]1(-[c:25]2[cH:26][cH:27][o:28][cH:29]2)[n:2][c:3]([F:4])[cH:5][c:6](-[c:7]2[cH:8][n:9][c:10]3[cH:11][cH:12][c:13]([NH:14][CH:15]4[CH2:16][CH2:17][CH2:18][CH:19]([OH:20])[CH2:21]4)[cH:22][n:23]23)[cH:24]1,,"[('b', 0, 505)]",245
22331,O[C:1](=[O:2])[C@@H:3]1[CH2:4][C@@H:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]2[Cl:15])[CH2:16][N:17]1[C:18](=[O:19])[C:20]1([c:21]2[n:22][cH:23][c:24]([Cl:25])[cH:26][c:27]2[F:28])[CH2:29][CH2:30]1.[CH3:31][CH2:32][CH2:33][C@H:34]([NH2:35])[C:36](=[O:37])[C:38](=[O:39])[NH:40][CH2:41][c:42]1[cH:43][cH:44][cH:45][cH:46][cH:47]1,[C:1](=[O:2])([C@@H:3]1[CH2:4][C@@H:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]2[Cl:15])[CH2:16][N:17]1[C:18](=[O:19])[C:20]1([c:21]2[n:22][cH:23][c:24]([Cl:25])[cH:26][c:27]2[F:28])[CH2:29][CH2:30]1)[NH:35][C@@H:34]([CH2:33][CH2:32][CH3:31])[C:36](=[O:37])[C:38](=[O:39])[NH:40][CH2:41][c:42]1[cH:43][cH:44][cH:45][cH:46][cH:47]1,,"[('b', 59, 533)]",4537
22332,Cl[S:1](=[O:2])(=[O:3])[c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[C:10]([F:11])([F:12])[F:13].[CH3:14][CH2:15][O:16][P:17]([CH3:18])(=[O:19])[CH2:20][OH:21],[S:1](=[O:2])(=[O:3])([c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[C:10]([F:11])([F:12])[F:13])[O:21][CH2:20][P:17]([O:16][CH2:15][CH3:14])([CH3:18])=[O:19],,"[('b', 25, 514)]",366
22333,CCO[C:1](=[O:2])[NH:3][c:4]1[n:5][c:6]2[cH:7][cH:8][c:9]([Cl:10])[cH:11][c:12]2[n:13][c:14]1[O:15][CH3:16].[O:17]=[N+:18]([O-:19])[c:20]1[cH:21][cH:22][c:23]([N:24]2[CH2:25][CH2:26][NH:27][CH2:28][CH2:29]2)[cH:30][cH:31]1,[C:1](=[O:2])([NH:3][c:4]1[n:5][c:6]2[cH:7][cH:8][c:9]([Cl:10])[cH:11][c:12]2[n:13][c:14]1[O:15][CH3:16])[N:27]1[CH2:26][CH2:25][N:24]([c:23]2[cH:22][cH:21][c:20]([N+:18](=[O:17])[O-:19])[cH:31][cH:30]2)[CH2:29][CH2:28]1,,"[('b', 31, 510)]",287
22334,[CH3:11][c:12]1[cH:13][c:14]([N:15]([CH3:16])[C:17](=[O:18])[N:19]([CH3:20])[C@@H:21]2[CH2:22][NH:23][CH2:24][C@H:25]2[c:26]2[cH:27][cH:28][c:29]([F:30])[cH:31][cH:32]2)[cH:33][c:34]([C:35]([F:36])([F:37])[F:38])[cH:39]1.O[C:1](=[O:2])[CH:3]1[CH2:4][CH2:5][C:6]([F:7])([F:8])[CH2:9][CH2:10]1,[C:1](=[O:2])([CH:3]1[CH2:4][CH2:5][C:6]([F:7])([F:8])[CH2:9][CH2:10]1)[N:23]1[CH2:22][C@@H:21]([N:19]([C:17]([N:15]([c:14]2[cH:13][c:12]([CH3:11])[cH:39][c:34]([C:35]([F:36])([F:37])[F:38])[cH:33]2)[CH3:16])=[O:18])[CH3:20])[C@H:25]([c:26]2[cH:27][cH:28][c:29]([F:30])[cH:31][cH:32]2)[CH2:24]1,,"[('b', 19, 533)]",4537
22335,[CH3:3][O:4][CH:5]=[C:6]([C:7]#[N:8])[CH:9]([O:10][CH3:11])[O:12][CH3:13].[CH3:1][OH:2],[CH3:1][O:2][CH:5]([O:4][CH3:3])[CH:6]([C:7]#[N:8])[CH:9]([O:10][CH3:11])[O:12][CH3:13],,"[('b', 2, 490)]",107
22336,[N:3]#[C:4][c:5]1[cH:6][cH:7][c:8]([OH:9])[c:10]([Br:11])[cH:12]1.I[CH2:1][CH3:2],[CH2:1]([CH3:2])[O:9][c:8]1[cH:7][cH:6][c:5]([C:4]#[N:3])[cH:12][c:10]1[Br:11],,"[('b', 3, 512)]",307
22337,CC(=O)[NH:1][c:2]1[c:3]([OH:4])[n:5][c:6]([S:7][CH2:8][CH2:9][CH3:10])[n:11][c:12]1[OH:13],[NH2:1][c:2]1[c:3]([OH:4])[n:5][c:6]([S:7][CH2:8][CH2:9][CH3:10])[n:11][c:12]1[OH:13],,"[('a', 0, 109)]",115
22338,O[C:1]([C@H:2]([CH3:3])[NH:4][C:5](=[O:6])[O:7][CH2:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:15].[CH3:16][NH:17][O:18][CH3:19],[C:1]([C@H:2]([CH3:3])[NH:4][C:5](=[O:6])[O:7][CH2:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)(=[O:15])[N:17]([CH3:16])[O:18][CH3:19],,"[('b', 29, 533)]",4537
22339,O=[C:1]1[CH2:2][CH2:3][N:4]([c:5]2[cH:6][cH:7][c:8]([NH:9][S:10](=[O:11])(=[O:12])[c:13]3[cH:14][cH:15][c:16]([CH2:17][CH:18]4[S:19][C:20](=[O:21])[NH:22][C:23]4=[O:24])[cH:25][cH:26]3)[cH:27][cH:28]2)[CH2:29][CH2:30]1.[CH3:31][S:32](=[O:33])(=[O:34])[NH:35][c:36]1[cH:37][c:38]([CH:39]([OH:40])[CH2:41][NH2:42])[cH:43][cH:44][c:45]1[OH:46],[CH:1]1([NH:42][CH2:41][CH:39]([c:38]2[cH:37][c:36]([NH:35][S:32]([CH3:31])(=[O:33])=[O:34])[c:45]([OH:46])[cH:44][cH:43]2)[OH:40])[CH2:2][CH2:3][N:4]([c:5]2[cH:6][cH:7][c:8]([NH:9][S:10](=[O:11])(=[O:12])[c:13]3[cH:14][cH:15][c:16]([CH2:17][CH:18]4[S:19][C:20](=[O:21])[NH:22][C:23]4=[O:24])[cH:25][cH:26]3)[cH:27][cH:28]2)[CH2:29][CH2:30]1,,"[('b', 1, 530)]",1299
22340,CC[O:1][C:2](=[O:3])[C@:4]1([CH3:5])[CH2:6][C@H:7]1[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1,[OH:1][C:2](=[O:3])[C@:4]1([CH3:5])[CH2:6][C@H:7]1[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1,,"[('a', 0, 120)]",1123
22341,Cl[CH2:1][c:2]1[cH:3][c:4]2[n:5][cH:6][cH:7][cH:8][c:9]2[s:10]1.[NH3:11],[CH2:1]([c:2]1[cH:3][c:4]2[n:5][cH:6][cH:7][cH:8][c:9]2[s:10]1)[NH2:11],,"[('b', 19, 532)]",2537
22342,O[C:1]([CH:2]=[CH:3][c:4]1[c:5]([CH2:6][C:7]2=[C:8]([CH3:9])[C:10](=[O:11])[C:12]([O:13][CH3:14])=[C:15]([O:16][CH3:17])[C:18]2=[O:19])[cH:20][cH:21][cH:22][cH:23]1)=[O:24].[CH2:25]1[CH2:26][S:27][CH2:28][CH2:29][NH:30]1,[C:1]([CH:2]=[CH:3][c:4]1[c:5]([CH2:6][C:7]2=[C:8]([CH3:9])[C:10](=[O:11])[C:12]([O:13][CH3:14])=[C:15]([O:16][CH3:17])[C:18]2=[O:19])[cH:20][cH:21][cH:22][cH:23]1)(=[O:24])[N:30]1[CH2:25][CH2:26][S:27][CH2:28][CH2:29]1,,"[('b', 47, 533)]",4537
22343,O[C:1]([CH2:2][CH2:3][C:4]([NH:5][CH2:6][CH2:7][O:8][c:9]1[c:10]([C:11]([NH:12][C@@H:13]([CH2:14][CH3:15])[c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)=[O:22])[c:23]2[c:24]([n:25][c:26]1-[c:27]1[cH:28][cH:29][cH:30][cH:31][cH:32]1)[cH:33][cH:34][cH:35][cH:36]2)=[O:37])=[O:38],[C:1]1(=[O:38])[CH2:2][CH2:3][C:4](=[O:37])[N:5]1[CH2:6][CH2:7][O:8][c:9]1[c:10]([C:11]([NH:12][C@@H:13]([CH2:14][CH3:15])[c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)=[O:22])[c:23]2[c:24]([n:25][c:26]1-[c:27]1[cH:28][cH:29][cH:30][cH:31][cH:32]1)[cH:33][cH:34][cH:35][cH:36]2,,"[('b', 74, 533)]",4537
22344,CC1(C)OB([c:1]2[cH:2][cH:3][c:4]([NH:5][C:6](=[O:7])[NH:8][CH:9]3[CH2:10][CH2:11]3)[cH:12][cH:13]2)OC1(C)C.Cl[c:14]1[n:15][c:16]([N:17]2[CH:18]3[CH2:19][CH2:20][CH:21]2[CH2:22][O:23][CH2:24]3)[cH:25][c:26]([CH2:27][N:28]([CH3:29])[CH3:30])[n:31]1,[c:1]1(-[c:14]2[n:15][c:16]([N:17]3[CH:18]4[CH2:19][CH2:20][CH:21]3[CH2:22][O:23][CH2:24]4)[cH:25][c:26]([CH2:27][N:28]([CH3:29])[CH3:30])[n:31]2)[cH:2][cH:3][c:4]([NH:5][C:6](=[O:7])[NH:8][CH:9]2[CH2:10][CH2:11]2)[cH:12][cH:13]1,,"[('b', 1, 496)]",142
22345,CC1(C)OB([c:10]2[c:11]([CH2:12][O:13][C:14]([CH3:15])=[O:16])[c:17]([N:18]3[CH2:19][CH2:20][c:21]4[cH:22][c:23]([N:24]([CH3:25])[CH3:26])[cH:27][cH:28][c:29]4[C:30]3=[O:31])[cH:32][cH:33][cH:34]2)OC1(C)C.Br[c:1]1[cH:2][n:3]([CH3:4])[c:5](=[O:6])[c:7]([NH2:8])[cH:9]1,[c:1]1(-[c:10]2[c:11]([CH2:12][O:13][C:14]([CH3:15])=[O:16])[c:17]([N:18]3[CH2:19][CH2:20][c:21]4[cH:22][c:23]([N:24]([CH3:25])[CH3:26])[cH:27][cH:28][c:29]4[C:30]3=[O:31])[cH:32][cH:33][cH:34]2)[cH:2][n:3]([CH3:4])[c:5](=[O:6])[c:7]([NH2:8])[cH:9]1,,"[('b', 0, 518)]",452
22346,O=C(O[C:1](=[O:2])[C:3]([F:4])([F:5])[F:6])C(F)(F)F.[CH2:7]=[CH:8][CH2:9][NH:10][CH3:11],[C:1](=[O:2])([C:3]([F:4])([F:5])[F:6])[N:10]([CH2:9][CH:8]=[CH2:7])[CH3:11],,"[('b', 11, 482)]",76
