,Reactants,Products,Reagents,Labels,Frequency
17529,O=[CH:1][c:2]1[cH:3][c:4]([CH2:5][CH2:6][CH2:7][O:8][CH3:9])[cH:10][c:11]([O:12][CH2:13][CH2:14][O:15][CH3:16])[cH:17]1.[NH2:18][CH:19]1[CH2:20][CH2:21]1,[CH2:1]([c:2]1[cH:3][c:4]([CH2:5][CH2:6][CH2:7][O:8][CH3:9])[cH:10][c:11]([O:12][CH2:13][CH2:14][O:15][CH3:16])[cH:17]1)[NH:18][CH:19]1[CH2:20][CH2:21]1,,"[('b', 33, 450)]",1299
17530,[CH3:5][C:6]([CH3:7])([CH3:8])[O:9][C:10](=[O:11])[N:12]1[CH2:13][CH2:14][N:15]([c:16]2[cH:17][cH:18][c:19]([OH:20])[cH:21][cH:22]2)[C:23](=[O:24])[CH2:25]1.Br[CH2:1][CH2:2][CH2:3][Cl:4],[CH2:1]([CH2:2][CH2:3][Cl:4])[O:20][c:19]1[cH:18][cH:17][c:16]([N:15]2[CH2:14][CH2:13][N:12]([C:10]([O:9][C:6]([CH3:5])([CH3:7])[CH3:8])=[O:11])[CH2:25][C:23]2=[O:24])[cH:22][cH:21]1,,"[('b', 7, 448)]",924
17531,CC(C)(C)OC(=O)[N:1]1[CH2:2][CH2:3][N:4]([c:5]2[n:6][cH:7][cH:8][n:9][c:10]2-[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[C:17]([F:18])([F:19])[F:20])[CH2:21][CH2:22]1,[NH:1]1[CH2:2][CH2:3][N:4]([c:5]2[n:6][cH:7][cH:8][n:9][c:10]2-[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[C:17]([F:18])([F:19])[F:20])[CH2:21][CH2:22]1,,"[('a', 0, 122)]",1493
17532,O[C:1](=[O:2])[c:3]1[cH:4][c:5]([Br:6])[c:7]([O:8][c:9]2[cH:10][cH:11][c:12]([N+:13](=[O:14])[O-:15])[cH:16][cH:17]2)[c:18]([Br:19])[cH:20]1.[CH3:21][O:22][C:23](=[O:24])[CH2:25][NH2:26],[C:1](=[O:2])([c:3]1[cH:4][c:5]([Br:6])[c:7]([O:8][c:9]2[cH:10][cH:11][c:12]([N+:13](=[O:14])[O-:15])[cH:16][cH:17]2)[c:18]([Br:19])[cH:20]1)[NH:26][CH2:25][C:23]([O:22][CH3:21])=[O:24],,"[('b', 39, 453)]",4537
17533,[NH2:12][c:13]1[n:14][c:15]([CH2:16][C:17](=[O:18])[N:19]2[CH2:20][CH2:21][N:22]([CH2:23][C:24](=[O:25])[N:26]3[CH2:27][CH2:28][CH2:29][CH2:30]3)[CH2:31][CH2:32]2)[cH:33][s:34]1.O[C:1](=[O:2])[c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8]1)[O:9][CH2:10][O:11]2,[C:1](=[O:2])([c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8]1)[O:9][CH2:10][O:11]2)[NH:12][c:13]1[n:14][c:15]([CH2:16][C:17](=[O:18])[N:19]2[CH2:20][CH2:21][N:22]([CH2:23][C:24](=[O:25])[N:26]3[CH2:27][CH2:28][CH2:29][CH2:30]3)[CH2:31][CH2:32]2)[cH:33][s:34]1,,"[('b', 21, 453)]",4537
17534,[CH:10]#[C:11][c:12]1[cH:13][c:14]([Cl:15])[cH:16][cH:17][c:18]1[O:19][CH2:20][C:21](=[O:22])[O:23][C:24]([CH3:25])([CH3:26])[CH3:27].Br[c:1]1[c:2]([CH2:3][CH2:4][CH3:5])[cH:6][cH:7][n:8][cH:9]1,[c:1]1([C:10]#[C:11][c:12]2[cH:13][c:14]([Cl:15])[cH:16][cH:17][c:18]2[O:19][CH2:20][C:21](=[O:22])[O:23][C:24]([CH3:25])([CH3:26])[CH3:27])[c:2]([CH2:3][CH2:4][CH3:5])[cH:6][cH:7][n:8][cH:9]1,,"[('b', 1, 427)]",265
17535,[CH3:4][O:5][c:6]1[cH:7][cH:8][c:9](-[c:10]2[cH:11][c:12]([NH2:13])[c:14]([C:15]([NH2:16])=[O:17])[s:18]2)[cH:19][cH:20]1.C[Si](C)(C)[N:1]=[C:2]=[O:3],[NH2:1][C:2](=[O:3])[NH:13][c:12]1[cH:11][c:10](-[c:9]2[cH:8][cH:7][c:6]([O:5][CH3:4])[cH:20][cH:19]2)[s:18][c:14]1[C:15]([NH2:16])=[O:17],,"[('a', 0, 74), ('b', 5, 290)]",9
17536,[O:16]=[C:17]1[NH:18][c:19]2[cH:20][cH:21][cH:22][cH:23][c:24]2[C:25]12[CH2:26][O:27][c:28]1[cH:29][c:30]3[c:31]([cH:32][c:33]12)[O:34][CH2:35][O:36]3.Br[CH2:1][c:2]1[cH:3][c:4]([C:5]([O:6][CH2:7][CH3:8])=[O:9])[c:10]([C:11]([F:12])([F:13])[F:14])[o:15]1,[CH2:1]([c:2]1[cH:3][c:4]([C:5]([O:6][CH2:7][CH3:8])=[O:9])[c:10]([C:11]([F:12])([F:13])[F:14])[o:15]1)[N:18]1[C:17](=[O:16])[C:25]2([c:24]3[c:19]1[cH:20][cH:21][cH:22][cH:23]3)[CH2:26][O:27][c:28]1[cH:29][c:30]3[c:31]([cH:32][c:33]12)[O:34][CH2:35][O:36]3,,"[('b', 29, 449)]",955
17537,CC(C)(C)[Si](C)(C)[O:1][CH2:2][CH:3]([C:4]([NH:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[NH:11][C:12](=[O:13])[N:14]1[CH2:15][CH2:16][C:17](=[C:18]2[c:19]3[cH:20][cH:21][cH:22][cH:23][c:24]3[CH:25]=[CH:26][c:27]3[cH:28][cH:29][cH:30][cH:31][c:32]32)[CH2:33][CH2:34]1,[OH:1][CH2:2][CH:3]([C:4]([NH:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[NH:11][C:12](=[O:13])[N:14]1[CH2:15][CH2:16][C:17](=[C:18]2[c:19]3[cH:20][cH:21][cH:22][cH:23][c:24]3[CH:25]=[CH:26][c:27]3[cH:28][cH:29][cH:30][cH:31][c:32]32)[CH2:33][CH2:34]1,,"[('a', 0, 112)]",169
17538,Br[c:1]1[c:2]2[cH:3][cH:4][c:5](=[O:6])[nH:7][c:8]2[cH:9][cH:10][n:11]1.[CH3:12][c:13]1[n:14][cH:15][cH:16][nH:17]1,[c:1]1(-[n:17]2[c:13]([CH3:12])[n:14][cH:15][cH:16]2)[c:2]2[cH:3][cH:4][c:5](=[O:6])[nH:7][c:8]2[cH:9][cH:10][n:11]1,,"[('b', 1, 402)]",86
17539,O=[C:4]([c:5]1[cH:6][c:7]([O:8][CH3:9])[cH:10][c:11]([O:12][CH3:13])[cH:14]1)[c:15]1[cH:16][cH:17][c:18]([O:19][CH3:20])[c:21]([O:22][CH3:23])[cH:24]1.CCOP(=O)(OCC)[CH2:1][C:2]#[N:3],[CH:1]([C:2]#[N:3])=[C:4]([c:5]1[cH:6][c:7]([O:8][CH3:9])[cH:10][c:11]([O:12][CH3:13])[cH:14]1)[c:15]1[cH:16][cH:17][c:18]([O:19][CH3:20])[c:21]([O:22][CH3:23])[cH:24]1,,"[('b', 5, 403)]",88
17540,[O:4]=[C:5]([CH2:6][n:7]1[n:8][c:9]([CH:10]([F:11])[F:12])[cH:13][c:14]1[CH:15]([F:16])[F:17])[N:18]1[CH2:19][CH2:20][CH:21]([c:22]2[n:23][c:24]([C:25]3=[N:26][O:27][CH:28]([c:29]4[cH:30][cH:31][cH:32][cH:33][c:34]4[OH:35])[CH2:36]3)[cH:37][s:38]2)[CH2:39][CH2:40]1.Br[CH2:1][C:2]#[CH:3],[CH2:1]([C:2]#[CH:3])[O:35][c:34]1[c:29]([CH:28]2[O:27][N:26]=[C:25]([c:24]3[n:23][c:22]([CH:21]4[CH2:20][CH2:19][N:18]([C:5](=[O:4])[CH2:6][n:7]5[n:8][c:9]([CH:10]([F:11])[F:12])[cH:13][c:14]5[CH:15]([F:16])[F:17])[CH2:40][CH2:39]4)[s:38][cH:37]3)[CH2:36]2)[cH:30][cH:31][cH:32][cH:33]1,,"[('b', 5, 448)]",924
17541,O=C(OCc1ccccc1)[N:1]1[CH2:2][CH2:3][CH:4]([n:5]2[cH:6][cH:7][c:8]3[cH:9][cH:10][c:11]([C:12]([NH:13][CH3:14])=[O:15])[cH:16][c:17]23)[CH2:18][CH2:19]1,[NH:1]1[CH2:2][CH2:3][CH:4]([n:5]2[cH:6][cH:7][c:8]3[cH:9][cH:10][c:11]([C:12]([NH:13][CH3:14])=[O:15])[cH:16][c:17]23)[CH2:18][CH2:19]1,,"[('a', 0, 115)]",197
17542,[CH3:3][c:4]1[n:5][n:6][c:7](-[c:8]2[cH:9][cH:10][c:11]([CH3:12])[c:13](-[c:14]3[cH:15][cH:16][c:17]([C:18](=[O:19])[NH:20][CH2:21][c:22]4[cH:23][cH:24][cH:25][cH:26][c:27]4[Cl:28])[cH:29][cH:30]3)[cH:31]2)[o:32]1.I[CH2:1][CH3:2],[CH2:1]([CH3:2])[N:20]([C:18]([c:17]1[cH:16][cH:15][c:14](-[c:13]2[c:11]([CH3:12])[cH:10][cH:9][c:8](-[c:7]3[n:6][n:5][c:4]([CH3:3])[o:32]3)[cH:31]2)[cH:30][cH:29]1)=[O:19])[CH2:21][c:22]1[cH:23][cH:24][cH:25][cH:26][c:27]1[Cl:28],,"[('b', 3, 425)]",258
17543,[O:10]=[c:11]1[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[s:18][c:19]2[cH:20][cH:21][c:22]([OH:23])[cH:24][c:25]12.Cl[CH2:1][CH:2]([CH2:3][N+:4]([CH3:5])([CH3:6])[CH3:7])[OH:8],[CH2:1]([CH:2]([CH2:3][N+:4]([CH3:5])([CH3:6])[CH3:7])[OH:8])[O:23][c:22]1[cH:21][cH:20][c:19]2[s:18][c:17]3[c:12]([c:11](=[O:10])[c:25]2[cH:24]1)[cH:13][cH:14][cH:15][cH:16]3,,"[('b', 15, 444)]",782
17544,F[c:1]1[cH:2][cH:3][cH:4][c:5]2[n:6][cH:7][n:8][c:9]([NH:10][c:11]3[c:12]([Cl:13])[cH:14][cH:15][c:16]4[c:17]3[O:18][CH2:19][O:20]4)[c:21]12.[OH:23][c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1,[c:1]1([O:23][c:24]2[cH:25][cH:26][cH:27][cH:28][cH:29]2)[cH:2][cH:3][cH:4][c:5]2[n:6][cH:7][n:8][c:9]([NH:10][c:11]3[c:12]([Cl:13])[cH:14][cH:15][c:16]4[c:17]3[O:18][CH2:19][O:20]4)[c:21]12,,"[('b', 1, 423)]",235
17545,Br[c:1]1[cH:2][cH:3][c:4](-[c:5]2[n:6][cH:7][c:8]([NH2:9])[n:10][cH:11]2)[c:12]([F:13])[cH:14]1.OB(O)[c:15]1[cH:16][cH:17][cH:18][n:19][c:20]1[N:21]1[CH2:22][CH2:23][CH2:24][CH2:25]1,[c:1]1(-[c:15]2[cH:16][cH:17][cH:18][n:19][c:20]2[N:21]2[CH2:22][CH2:23][CH2:24][CH2:25]2)[cH:2][cH:3][c:4](-[c:5]2[n:6][cH:7][c:8]([NH2:9])[n:10][cH:11]2)[c:12]([F:13])[cH:14]1,,"[('b', 0, 447)]",900
17546,Br[CH2:1][c:2]1[c:3]([CH2:4][C:5]([O:6][CH3:7])=[O:8])[cH:9][cH:10][cH:11][cH:12]1.[CH3:13][c:14]1[cH:15][cH:16][cH:17][cH:18][c:19]1[OH:20],[CH2:1]([c:2]1[c:3]([CH2:4][C:5]([O:6][CH3:7])=[O:8])[cH:9][cH:10][cH:11][cH:12]1)[O:20][c:19]1[c:14]([CH3:13])[cH:15][cH:16][cH:17][cH:18]1,,"[('b', 23, 448)]",924
17547,Br[CH2:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1.[OH:8][c:9]1[cH:10][cH:11][cH:12][c:13]([OH:14])[cH:15]1,[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[O:8][c:9]1[cH:10][cH:11][cH:12][c:13]([OH:14])[cH:15]1,,"[('b', 13, 448)]",924
17548,[CH3:8][CH2:9][O:10][C:11](=[O:12])[c:13]1[cH:14][cH:15][nH:16][n:17]1.F[c:1]1[cH:2][cH:3][c:4]([F:5])[cH:6][n:7]1,[c:1]1(-[n:16]2[cH:15][cH:14][c:13]([C:11]([O:10][CH2:9][CH3:8])=[O:12])[n:17]2)[cH:2][cH:3][c:4]([F:5])[cH:6][n:7]1,,"[('b', 1, 396)]",65
17549,O[CH2:1][CH2:2][c:3]1[c:4]([OH:5])[n:6]2[n:7][c:8]([CH3:9])[c:10](-[c:11]3[c:12]([CH3:13])[cH:14][c:15]([CH3:16])[cH:17][c:18]3[CH3:19])[c:20]2[n:21][c:22]1[CH3:23],[CH2:1]1[CH2:2][c:3]2[c:4]([n:6]3[n:7][c:8]([CH3:9])[c:10](-[c:11]4[c:12]([CH3:13])[cH:14][c:15]([CH3:16])[cH:17][c:18]4[CH3:19])[c:20]3[n:21][c:22]2[CH3:23])[O:5]1,,"[('b', 44, 445)]",804
17550,[CH3:9][CH2:10][O:11][C:12](=[O:13])[c:14]1[cH:15][c:16]2[cH:17][c:18]([O:19][CH3:20])[cH:21][c:22]([NH2:23])[c:24]2[nH:25]1.Cl[S:1](=[O:2])(=[O:3])[c:4]1[cH:5][cH:6][cH:7][s:8]1,[S:1](=[O:2])(=[O:3])([c:4]1[cH:5][cH:6][cH:7][s:8]1)[NH:23][c:22]1[cH:21][c:18]([O:19][CH3:20])[cH:17][c:16]2[cH:15][c:14]([C:12]([O:11][CH2:10][CH3:9])=[O:13])[nH:25][c:24]21,,"[('b', 15, 446)]",828
17551,O[C:1](=[O:2])[c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][cH:9][c:10]([Cl:11])[cH:12][cH:13]2)[o:14]1.[CH3:15][c:16]1[cH:17][cH:18][c:19]([C:20](=[O:21])[NH:22][CH:23]2[CH2:24][CH2:25]2)[cH:26][c:27]1[NH2:28],[C:1](=[O:2])([c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][cH:9][c:10]([Cl:11])[cH:12][cH:13]2)[o:14]1)[NH:28][c:27]1[c:16]([CH3:15])[cH:17][cH:18][c:19]([C:20](=[O:21])[NH:22][CH:23]2[CH2:24][CH2:25]2)[cH:26]1,,"[('b', 27, 453)]",4537
17552,CON(C)[C:10](=[O:11])[C:12]1([NH:13][C:14](=[O:15])[O:16][C:17]([CH3:18])([CH3:19])[CH3:20])[CH2:21][CH2:22]1.Br[c:1]1[cH:2][c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[o:9]1,[c:1]1([C:10](=[O:11])[C:12]2([NH:13][C:14](=[O:15])[O:16][C:17]([CH3:18])([CH3:19])[CH3:20])[CH2:21][CH2:22]2)[cH:2][c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[o:9]1,,"[('b', 0, 380)]",42
17553,CC(C)(C)[O:1][C:2]([c:3]1[c:4](-[c:5]2[cH:6][cH:7][c:8]([CH2:9][n:10]3[c:11]([CH2:12][CH2:13][CH2:14][CH3:15])[n:16][c:17]4[cH:18][cH:19][cH:20][c:21]([O:22][CH3:23])[c:24]34)[cH:25][cH:26]2)[cH:27][cH:28][cH:29][cH:30]1)=[O:31],[OH:1][C:2]([c:3]1[c:4](-[c:5]2[cH:6][cH:7][c:8]([CH2:9][n:10]3[c:11]([CH2:12][CH2:13][CH2:14][CH3:15])[n:16][c:17]4[cH:18][cH:19][cH:20][c:21]([O:22][CH3:23])[c:24]34)[cH:25][cH:26]2)[cH:27][cH:28][cH:29][cH:30]1)=[O:31],,"[('a', 0, 117)]",281
17554,[cH:7]1[cH:8][cH:9][c:10]([CH2:11][N:12]2[CH2:13][CH2:14][NH:15][C:16]3([CH2:17][CH2:18]3)[CH2:19]2)[cH:20][cH:21]1.O[C:1](=[O:2])[C:3]([F:4])([F:5])[F:6],[C:1](=[O:2])([C:3]([F:4])([F:5])[F:6])[N:15]1[CH2:14][CH2:13][N:12]([CH2:11][c:10]2[cH:9][cH:8][cH:7][cH:21][cH:20]2)[CH2:19][C:16]12[CH2:17][CH2:18]2,,"[('b', 11, 453)]",4537
17555,Br[c:9]1[cH:10][cH:11][c:12]2[c:13]([cH:14]1)[C:15]([CH3:16])([CH3:17])[O:18][CH:19]([CH3:20])[NH:21]2.Br[c:1]1[c:2]([CH3:3])[cH:4][c:5]([C:6]#[N:7])[s:8]1,[c:1]1(-[c:9]2[cH:10][cH:11][c:12]3[c:13]([cH:14]2)[C:15]([CH3:16])([CH3:17])[O:18][CH:19]([CH3:20])[NH:21]3)[c:2]([CH3:3])[cH:4][c:5]([C:6]#[N:7])[s:8]1,,"[('b', 1, 363)]",30
17556,Br[CH2:1][CH:2]([O:3][CH2:4][CH3:5])[O:6][CH2:7][CH3:8].[CH3:9][CH2:10][NH2:11],[CH2:1]([CH:2]([O:3][CH2:4][CH3:5])[O:6][CH2:7][CH3:8])[NH:11][CH2:10][CH3:9],,"[('b', 15, 449)]",955
17557,[N:12]#[C:13][c:14]1[cH:15][cH:16][n:17][c:18]([NH:19][CH:20]2[CH2:21][CH2:22][NH:23][CH2:24][CH2:25]2)[cH:26]1.O=[CH:1][c:2]1[cH:3][c:4]([O:5][CH2:6][CH3:7])[c:8]([CH3:9])[cH:10][cH:11]1,[CH2:1]([c:2]1[cH:3][c:4]([O:5][CH2:6][CH3:7])[c:8]([CH3:9])[cH:10][cH:11]1)[N:23]1[CH2:22][CH2:21][CH:20]([NH:19][c:18]2[n:17][cH:16][cH:15][c:14]([C:13]#[N:12])[cH:26]2)[CH2:25][CH2:24]1,,"[('b', 21, 450)]",1299
17558,[CH3:8][O:9][C:10](=[O:11])[c:12]1[cH:13][c:14]([Br:15])[cH:16][c:17]([NH2:18])[c:19]1[CH3:20].O=[C:1]1[CH2:2][CH2:3][N:4]([CH3:5])[CH2:6][CH2:7]1,[CH:1]1([NH:18][c:17]2[cH:16][c:14]([Br:15])[cH:13][c:12]([C:10]([O:9][CH3:8])=[O:11])[c:19]2[CH3:20])[CH2:2][CH2:3][N:4]([CH3:5])[CH2:6][CH2:7]1,,"[('b', 1, 450)]",1299
17559,O=[C:1]([NH:2][CH2:3][c:4]1[c:5]([O:6][CH3:7])[cH:8][cH:9][cH:10][cH:11]1)[c:12]1[cH:13][cH:14][c:15]([N+:16](=[O:17])[O-:18])[cH:19][c:20]1[NH2:21],[CH2:1]([NH:2][CH2:3][c:4]1[c:5]([O:6][CH3:7])[cH:8][cH:9][cH:10][cH:11]1)[c:12]1[cH:13][cH:14][c:15]([N+:16](=[O:17])[O-:18])[cH:19][c:20]1[NH2:21],,"[('a', 0, 119)]",433
17560,O=[CH:1][CH2:2][N:3]([C@H:4]([C:5]([N:6]([CH2:7][c:8]1[c:9]([O:10][CH3:11])[cH:12][cH:13][cH:14][cH:15]1)[CH3:16])=[O:17])[CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)[C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:30])[CH3:31].[NH2:32][C@H:33]([CH2:34][C:35](=[O:36])[OH:37])[CH2:38][c:39]1[cH:40][nH:41][c:42]2[cH:43][cH:44][cH:45][cH:46][c:47]12,[CH2:1]([CH2:2][N:3]([C@H:4]([C:5]([N:6]([CH2:7][c:8]1[c:9]([O:10][CH3:11])[cH:12][cH:13][cH:14][cH:15]1)[CH3:16])=[O:17])[CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)[C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:30])[CH3:31])[NH:32][C@H:33]([CH2:34][C:35](=[O:36])[OH:37])[CH2:38][c:39]1[cH:40][nH:41][c:42]2[cH:43][cH:44][cH:45][cH:46][c:47]12,,"[('b', 61, 450)]",1299
17561,Cl[c:1]1[n:2][cH:3][c:4]2[n:5][c:6](-[c:7]3[cH:8][c:9]([CH3:10])[c:11](=[O:12])[n:13]([CH3:14])[cH:15]3)[n:16]([CH:17]([CH3:18])[c:19]3[cH:20][cH:21][cH:22][cH:23][n:24]3)[c:25]2[cH:26]1.[OH:27][CH2:28][CH:29]1[CH2:30][CH2:31]1,[c:1]1([O:27][CH2:28][CH:29]2[CH2:30][CH2:31]2)[n:2][cH:3][c:4]2[n:5][c:6](-[c:7]3[cH:8][c:9]([CH3:10])[c:11](=[O:12])[n:13]([CH3:14])[cH:15]3)[n:16]([CH:17]([CH3:18])[c:19]3[cH:20][cH:21][cH:22][cH:23][n:24]3)[c:25]2[cH:26]1,,"[('b', 1, 439)]",452
17562,Cl[c:1]1[n:2][n:3][c:4]2[cH:5][cH:6][c:7]([F:8])[cH:9][n:10]12.[OH:11][C@H:12]1[CH2:13][CH2:14][CH2:15][NH:16][CH2:17]1,[c:1]1([N:16]2[CH2:15][CH2:14][CH2:13][C@H:12]([OH:11])[CH2:17]2)[n:2][n:3][c:4]2[cH:5][cH:6][c:7]([F:8])[cH:9][n:10]12,,"[('b', 1, 451)]",1916
17563,I[c:1]1[c:2]([CH3:3])[n:4]2[c:5]([n:6]1)[CH:7]([O:8][CH:9]1[CH2:10][CH2:11][N:12]([CH3:13])[CH2:14][CH2:15]1)[c:16]1[c:17]([cH:18][cH:19][cH:20][cH:21]1)[CH2:22][CH2:23]2.OB(O)[c:24]1[cH:25][cH:26][c:27]([C:28](=[O:29])[NH:30][C@H:31]2[CH2:32][CH2:33][C@H:34]([OH:35])[CH2:36][CH2:37]2)[cH:38][cH:39]1,[c:1]1(-[c:24]2[cH:25][cH:26][c:27]([C:28](=[O:29])[NH:30][CH:31]3[CH2:32][CH2:33][CH:34]([OH:35])[CH2:36][CH2:37]3)[cH:38][cH:39]2)[c:2]([CH3:3])[n:4]2[c:5]([n:6]1)[CH:7]([O:8][CH:9]1[CH2:10][CH2:11][N:12]([CH3:13])[CH2:14][CH2:15]1)[c:16]1[c:17]([cH:18][cH:19][cH:20][cH:21]1)[CH2:22][CH2:23]2,,"[('b', 0, 416)]",146
17564,O=[N+:1]([O-])[c:2]1[c:3]([N:4]([CH3:5])[CH3:6])[n:7][cH:8][cH:9][cH:10]1,[NH2:1][c:2]1[c:3]([N:4]([CH3:5])[CH3:6])[n:7][cH:8][cH:9][cH:10]1,,"[('a', 0, 121)]",1277
17565,[CH3:10][CH2:11][O:12][C:13](=[O:14])[c:15]1[n:16][c:17]2[s:18][cH:19][c:20]([NH2:21])[c:22]2[c:23](=[O:24])[nH:25]1.Cl[C:1](=[O:2])[CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1,[C:1](=[O:2])([CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1)[NH:21][c:20]1[cH:19][s:18][c:17]2[n:16][c:15]([C:13]([O:12][CH2:11][CH3:10])=[O:14])[nH:25][c:23](=[O:24])[c:22]21,,"[('b', 17, 452)]",2537
17566,C[O:1][C:2](=[O:3])[c:4]1[cH:5][n:6][c:7]([O:8][c:9]2[cH:10][cH:11][c:12]3[c:13]([cH:14]2)[CH2:15][CH2:16][N:17]([C:18](=[O:19])[O:20][C:21]([CH3:22])([CH3:23])[CH3:24])[CH2:25][CH2:26]3)[cH:27][n:28]1,[OH:1][C:2](=[O:3])[c:4]1[cH:5][n:6][c:7]([O:8][c:9]2[cH:10][cH:11][c:12]3[c:13]([cH:14]2)[CH2:15][CH2:16][N:17]([C:18](=[O:19])[O:20][C:21]([CH3:22])([CH3:23])[CH3:24])[CH2:25][CH2:26]3)[cH:27][n:28]1,,"[('a', 0, 123)]",1797
17567,O[C:1]([c:2]1[n:3][c:4]2[cH:5][cH:6][c:7]([O:8][CH3:9])[cH:10][c:11]2[n:12][c:13]1[O:14][CH3:15])=[O:16].[NH2:17][c:18]1[n:19][n:20][n:21][nH:22]1,[C:1]([c:2]1[n:3][c:4]2[cH:5][cH:6][c:7]([O:8][CH3:9])[cH:10][c:11]2[n:12][c:13]1[O:14][CH3:15])(=[O:16])[NH:17][c:18]1[n:19][n:20][n:21][nH:22]1,,"[('b', 31, 453)]",4537
17568,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]([CH2:7][c:8]1[cH:9][cH:10][cH:11][c:12]([O:13][C:14]([F:15])([F:16])[CH:17]([F:18])[F:19])[cH:20]1)[C:21](=[O:22])[c:23]1[cH:24][cH:25][c:26]([Br:27])[cH:28][cH:29]1,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]([CH2:7][c:8]1[cH:9][cH:10][cH:11][c:12]([O:13][C:14]([F:15])([F:16])[CH:17]([F:18])[F:19])[cH:20]1)[CH:21]([OH:22])[c:23]1[cH:24][cH:25][c:26]([Br:27])[cH:28][cH:29]1,,"[('b', 40, 443), ('b', 41, 443)]",573
17569,[CH3:12][CH2:13][N:14]([CH2:15][CH3:16])[CH2:17][CH2:18][NH:19][c:20]1[cH:21][cH:22][c:23]([CH2:24][NH2:25])[c:26]2[c:27]1[c:28](=[O:29])[c:30]1[cH:31][cH:32][cH:33][cH:34][c:35]1[s:36]2.Cl[S:1]([c:2]1[cH:3][cH:4][c:5]([O:6][CH3:7])[cH:8][cH:9]1)(=[O:10])=[O:11],[S:1]([c:2]1[cH:3][cH:4][c:5]([O:6][CH3:7])[cH:8][cH:9]1)(=[O:10])(=[O:11])[NH:25][CH2:24][c:23]1[cH:22][cH:21][c:20]([NH:19][CH2:18][CH2:17][N:14]([CH2:13][CH3:12])[CH2:15][CH3:16])[c:27]2[c:26]1[s:36][c:35]1[c:30]([c:28]2=[O:29])[cH:31][cH:32][cH:33][cH:34]1,,"[('b', 21, 446)]",828
17570,[OH:8][c:9]1[cH:10][cH:11][c:12]([CH:13]2[CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]2)[cH:19][cH:20]1.Br[CH:1]([C:2]([O:3][CH2:4][CH3:5])=[O:6])[CH3:7],[CH:1]([C:2]([O:3][CH2:4][CH3:5])=[O:6])([CH3:7])[O:8][c:9]1[cH:10][cH:11][c:12]([CH:13]2[CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]2)[cH:19][cH:20]1,,"[('b', 13, 448)]",924
17571,Br[c:1]1[cH:2][c:3]([C:4](=[O:5])[OH:6])[c:7]([OH:8])[cH:9][cH:10]1.OB(O)[c:11]1[cH:12][cH:13][c:14]([F:15])[c:16]([Cl:17])[cH:18]1,[c:1]1(-[c:11]2[cH:12][cH:13][c:14]([F:15])[c:16]([Cl:17])[cH:18]2)[cH:2][c:3]([C:4](=[O:5])[OH:6])[c:7]([OH:8])[cH:9][cH:10]1,,"[('b', 0, 447)]",900
17572,Cl[C:1]([c:2]1[cH:3][cH:4][c:5]([N:6]([CH2:7][CH2:8][O:9][CH:10]([CH3:11])[CH3:12])[C:13](=[O:14])[CH2:15][Cl:16])[cH:17][cH:18]1)=[O:19].[F:20][c:21]1[cH:22][cH:23][c:24]([CH2:25][CH2:26][N:27]2[CH2:28][CH2:29][NH:30][CH2:31][CH2:32]2)[cH:33][cH:34]1,[C:1]([c:2]1[cH:3][cH:4][c:5]([N:6]([CH2:7][CH2:8][O:9][CH:10]([CH3:11])[CH3:12])[C:13](=[O:14])[CH2:15][Cl:16])[cH:17][cH:18]1)(=[O:19])[N:30]1[CH2:29][CH2:28][N:27]([CH2:26][CH2:25][c:24]2[cH:23][cH:22][c:21]([F:20])[cH:34][cH:33]2)[CH2:32][CH2:31]1,,"[('b', 37, 452)]",2537
