Reactants,Products,Reagents,Labels,Frequency,Split,Mask
[CH3:7][c:8]1[cH:9][cH:10][c:11]([OH:12])[c:13]([C:14]#[N:15])[cH:16]1.Br[CH2:1][C:2]([O:3][CH2:4][CH3:5])=[O:6],[CH2:1]([C:2]([O:3][CH2:4][CH3:5])=[O:6])[O:12][c:11]1[cH:10][cH:9][c:8]([CH3:7])[cH:16][c:13]1[C:14]#[N:15],,"[('b', 11, 448)]",924,train,1
CC[O:1][C:2](=[O:3])[c:4]1[cH:5][c:6]2[c:7]([cH:8][cH:9][c:10]3[n:11][c:12]([OH:13])[c:14]([OH:15])[n:16][c:17]23)[s:18]1,[OH:1][C:2](=[O:3])[c:4]1[cH:5][c:6]2[c:7]([cH:8][cH:9][c:10]3[n:11][c:12]([OH:13])[c:14]([OH:15])[n:16][c:17]23)[s:18]1,,"[('a', 0, 120)]",1123,train,1
[CH3:8][C:9]([CH3:10])([CH3:11])[O:12][C:13](=[O:14])[CH:15]([CH2:16][c:17]1[cH:18][cH:19][cH:20][cH:21][c:22]1[C:23](=[O:24])[OH:25])[CH:26]([OH:27])[CH:28]1[CH2:29][CH2:30][CH2:31][CH2:32][CH2:33]1.Br[CH2:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1,[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[O:25][C:23]([c:22]1[c:17]([CH2:16][CH:15]([C:13]([O:12][C:9]([CH3:8])([CH3:10])[CH3:11])=[O:14])[CH:26]([OH:27])[CH:28]2[CH2:29][CH2:30][CH2:31][CH2:32][CH2:33]2)[cH:18][cH:19][cH:20][cH:21]1)=[O:24],,"[('b', 13, 448)]",924,train,1
[CH3:1][CH:2]1[c:3]2[cH:4][cH:5][cH:6][c:7]([NH2:8])[c:9]2[CH:10]=[CH:11][N:12]1[CH3:13],[CH3:1][CH:2]1[c:3]2[cH:4][cH:5][cH:6][c:7]([NH2:8])[c:9]2[CH2:10][CH2:11][N:12]1[CH3:13],,"[('b', 18, 436), ('b', 19, 436)]",442,train,1
[CH3:13][O:14][C:15](=[O:16])[c:17]1[c:18](-[c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[cH:25][cH:26][n:27]1[NH2:28].O[C:1]([c:2]1[cH:3][n:4][cH:5][c:6]([S:7]([NH2:8])(=[O:9])=[O:10])[cH:11]1)=[O:12],[C:1]([c:2]1[cH:3][n:4][cH:5][c:6]([S:7]([NH2:8])(=[O:9])=[O:10])[cH:11]1)(=[O:12])[NH:28][n:27]1[c:17]([C:15]([O:14][CH3:13])=[O:16])[c:18](-[c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[cH:25][cH:26]1,,"[('b', 23, 453)]",4537,train,1
O[C:1](=[O:2])[CH2:3][O:4][c:5]1[cH:6][cH:7][c:8]([Cl:9])[cH:10][c:11]1[Cl:12].[CH3:13][O:14][C:15](=[O:16])[c:17]1[cH:18][cH:19][n:20][c:21]([NH2:22])[cH:23]1,[C:1](=[O:2])([CH2:3][O:4][c:5]1[cH:6][cH:7][c:8]([Cl:9])[cH:10][c:11]1[Cl:12])[NH:22][c:21]1[n:20][cH:19][cH:18][c:17]([C:15]([O:14][CH3:13])=[O:16])[cH:23]1,,"[('b', 23, 453)]",4537,train,1
[CH3:10][c:11]1[cH:12][cH:13][cH:14][c:15](-[c:16]2[s:17][c:18]([CH3:19])[n:20][c:21]2[C:22](=[O:23])[N:24]2[CH2:25][C@H:26]3[CH2:27][C@H:28]3[C@H:29]2[CH2:30][NH2:31])[cH:32]1.O[C:1]([c:2]1[c:3]([CH3:4])[n:5][c:6]([Br:7])[s:8]1)=[O:9],[C:1]([c:2]1[c:3]([CH3:4])[n:5][c:6]([Br:7])[s:8]1)(=[O:9])[NH:31][CH2:30][C@H:29]1[N:24]([C:22]([c:21]2[c:16](-[c:15]3[cH:14][cH:13][cH:12][c:11]([CH3:10])[cH:32]3)[s:17][c:18]([CH3:19])[n:20]2)=[O:23])[CH2:25][C@H:26]2[CH2:27][C@H:28]21,,"[('b', 17, 453)]",4537,train,1
O=[C:1]([N:2]([CH:3]1[c:4]2[cH:5][c:6]([CH3:7])[c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][c:14]2[N:15]([C:16](=[O:17])[O:18][CH:19]([CH3:20])[CH3:21])[CH2:22][CH2:23][CH2:24]1)[c:25]1[cH:26][cH:27][cH:28][n:29][cH:30]1)[c:31]1[cH:32][c:33]([C:34]([F:35])([F:36])[F:37])[cH:38][c:39]([C:40]([F:41])([F:42])[F:43])[cH:44]1,[CH2:1]([N:2]([CH:3]1[c:4]2[cH:5][c:6]([CH3:7])[c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][c:14]2[N:15]([C:16](=[O:17])[O:18][CH:19]([CH3:20])[CH3:21])[CH2:22][CH2:23][CH2:24]1)[c:25]1[cH:26][cH:27][cH:28][n:29][cH:30]1)[c:31]1[cH:32][c:33]([C:34]([F:35])([F:36])[F:37])[cH:38][c:39]([C:40]([F:41])([F:42])[F:43])[cH:44]1,,"[('a', 0, 119)]",433,train,1
Cl[c:1]1[c:2]([N+:3](=[O:4])[O-:5])[c:6]([Cl:7])[n:8][cH:9][n:10]1.[NH:11]=[C:12]([NH2:13])[NH2:14],[c:1]1([NH:13][C:12](=[NH:11])[NH2:14])[c:2]([N+:3](=[O:4])[O-:5])[c:6]([Cl:7])[n:8][cH:9][n:10]1,,"[('b', 1, 451)]",1916,train,1
CCC[CH2][Sn]([CH2]CCC)([CH2]CCC)[c:1]1[cH:2][cH:3][c:4]([C:5](=[O:6])[O:7][CH2:8][CH3:9])[cH:10][cH:11]1.O=S(=O)(O[C:12]1=[CH:13][CH2:14][CH2:15][c:16]2[cH:17][cH:18][cH:19][cH:20][c:21]21)C(F)(F)F,[c:1]1([C:12]2=[CH:13][CH2:14][CH2:15][c:16]3[cH:17][cH:18][cH:19][cH:20][c:21]32)[cH:2][cH:3][c:4]([C:5](=[O:6])[O:7][CH2:8][CH3:9])[cH:10][cH:11]1,,"[('b', 1, 256)]",6,train,1
C[O:1][C:2](=[O:3])/[CH:4]=[CH:5]/[c:6]1[cH:7][cH:8][c:9](-[c:10]2[n:11][c:12]3[c:13]([CH3:14])[n:15][n:16]([CH:17]4[CH2:18][CH2:19][CH2:20][CH2:21][CH2:22]4)[c:23]3[c:24](=[O:25])[nH:26]2)[c:27]([O:28][CH3:29])[cH:30]1,[OH:1][C:2](=[O:3])/[CH:4]=[CH:5]/[c:6]1[cH:7][cH:8][c:9](-[c:10]2[n:11][c:12]3[c:13]([CH3:14])[n:15][n:16]([CH:17]4[CH2:18][CH2:19][CH2:20][CH2:21][CH2:22]4)[c:23]3[c:24](=[O:25])[nH:26]2)[c:27]([O:28][CH3:29])[cH:30]1,,"[('a', 0, 123)]",1797,train,1
O=[CH:1][c:2]1[cH:3][c:4]([OH:5])[c:6]([OH:7])[c:8]([N+:9](=[O:10])[O-:11])[cH:12]1.[CH3:13][N:14]1[C:15](=[O:16])[CH2:17][S:18][C:19]1=[S:20],[CH:1]([c:2]1[cH:3][c:4]([OH:5])[c:6]([OH:7])[c:8]([N+:9](=[O:10])[O-:11])[cH:12]1)=[C:17]1[C:15](=[O:16])[N:14]([CH3:13])[C:19](=[S:20])[S:18]1,,"[('b', 23, 426)]",264,train,1
[CH3:10][S:11][c:12]1[n:13][c:14]([NH2:15])[cH:16][c:17]([CH2:18][c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[n:25]1.Cl[c:1]1[n:2][c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[s:9]1,[c:1]1([NH:15][c:14]2[n:13][c:12]([S:11][CH3:10])[n:25][c:17]([CH2:18][c:19]3[cH:20][cH:21][cH:22][cH:23][cH:24]3)[cH:16]2)[n:2][c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[s:9]1,,"[('b', 1, 451)]",1916,train,1
[OH:4][CH2:5][c:6]1[cH:7][cH:8][cH:9][c:10]([OH:11])[cH:12]1.Br[CH2:1][C:2]#[N:3],[CH2:1]([C:2]#[N:3])[O:11][c:10]1[cH:9][cH:8][cH:7][c:6]([CH2:5][OH:4])[cH:12]1,,"[('b', 5, 448)]",924,train,1
C[O:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[c:8]([CH3:9])[n:10][o:11][c:12]2[cH:13]1,[OH:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[c:8]([CH3:9])[n:10][o:11][c:12]2[cH:13]1,,"[('a', 0, 123)]",1797,train,1
Br[c:1]1[c:2]([CH2:3][N:4]2[C@@H:5]([CH3:6])[C@@H:7]([c:8]3[cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15][c:16]([C:17]([F:18])([F:19])[F:20])[cH:21]3)[O:22][C:23]2=[O:24])[n:25][c:26]([Cl:27])[cH:28][cH:29]1.OB(O)[c:30]1[c:31]([O:32][CH3:33])[cH:34][c:35]([F:36])[c:37]([CH:38]([CH3:39])[CH3:40])[cH:41]1,[c:1]1(-[c:30]2[c:31]([O:32][CH3:33])[cH:34][c:35]([F:36])[c:37]([CH:38]([CH3:39])[CH3:40])[cH:41]2)[c:2]([CH2:3][N:4]2[C@@H:5]([CH3:6])[C@@H:7]([c:8]3[cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15][c:16]([C:17]([F:18])([F:19])[F:20])[cH:21]3)[O:22][C:23]2=[O:24])[n:25][c:26]([Cl:27])[cH:28][cH:29]1,,"[('b', 0, 447)]",900,train,1
Br[c:1]1[c:2]2[n:3][cH:4][cH:5][c:6](-[c:7]3[cH:8][cH:9][cH:10][c:11]([NH:12][C:13]([CH2:14][CH:15]([CH3:16])[CH3:17])=[O:18])[cH:19]3)[n:20]2[n:21][cH:22]1.OB(O)[c:23]1[cH:24][cH:25][c:26]([O:27][CH3:28])[c:29]([CH:30]=[O:31])[cH:32]1,[c:1]1(-[c:23]2[cH:24][cH:25][c:26]([O:27][CH3:28])[c:29]([CH:30]=[O:31])[cH:32]2)[c:2]2[n:3][cH:4][cH:5][c:6](-[c:7]3[cH:8][cH:9][cH:10][c:11]([NH:12][C:13]([CH2:14][CH:15]([CH3:16])[CH3:17])=[O:18])[cH:19]3)[n:20]2[n:21][cH:22]1,,"[('b', 0, 447)]",900,train,1
Cl[C:1](=[O:2])[C:3]12[CH2:4][CH:5]3[CH2:6][CH:7]([CH2:8][CH:9]([CH2:10]3)[CH2:11]1)[CH2:12]2.[O:13]=[S:14](=[O:15])([O-:16])[CH2:17][CH2:18][CH2:19][OH:20],[C:1](=[O:2])([C:3]12[CH2:4][CH:5]3[CH2:6][CH:7]([CH2:8][CH:9]([CH2:10]3)[CH2:11]1)[CH2:12]2)[O:20][CH2:19][CH2:18][CH2:17][S:14](=[O:13])(=[O:15])[O-:16],,"[('b', 23, 444)]",782,train,1
[NH2:9][CH2:10][c:11]1[c:12](-[c:13]2[n:14][cH:15][cH:16][o:17]2)[n:18](-[c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[c:25]2[n:26][cH:27][cH:28][cH:29][c:30]2[c:31]1=[O:32].O[C:1]([c:2]1[cH:3][n:4]([CH3:5])[n:6][cH:7]1)=[O:8],[C:1]([c:2]1[cH:3][n:4]([CH3:5])[n:6][cH:7]1)(=[O:8])[NH:9][CH2:10][c:11]1[c:12](-[c:13]2[n:14][cH:15][cH:16][o:17]2)[n:18](-[c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[c:25]2[n:26][cH:27][cH:28][cH:29][c:30]2[c:31]1=[O:32],,"[('b', 15, 453)]",4537,train,1
[CH3:12][N:13]([C:14](=[O:15])[C:16]([CH3:17])([CH3:18])[c:19]1[cH:20][c:21]([C:22]([F:23])([F:24])[F:25])[cH:26][c:27]([C:28]([F:29])([F:30])[F:31])[cH:32]1)[C@@H:33]1[CH2:34][NH:35][CH2:36][C@H:37]1[c:38]1[cH:39][cH:40][cH:41][cH:42][cH:43]1.O[C:1]([C@H:2]1[N:3]([C:4]([CH3:5])=[O:6])[CH2:7][C@H:8]([OH:9])[CH2:10]1)=[O:11],[C:1]([C@H:2]1[N:3]([C:4]([CH3:5])=[O:6])[CH2:7][C@H:8]([OH:9])[CH2:10]1)(=[O:11])[N:35]1[CH2:34][C@@H:33]([N:13]([CH3:12])[C:14](=[O:15])[C:16]([CH3:17])([CH3:18])[c:19]2[cH:20][c:21]([C:22]([F:23])([F:24])[F:25])[cH:26][c:27]([C:28]([F:29])([F:30])[F:31])[cH:32]2)[C@H:37]([c:38]2[cH:39][cH:40][cH:41][cH:42][cH:43]2)[CH2:36]1,,"[('b', 21, 453)]",4537,train,1
[CH3:3][O:4][C:5](=[O:6])[CH:7]([CH3:8])[NH:9][S:10](=[O:11])(=[O:12])[c:13]1[cH:14][cH:15][cH:16][cH:17][c:18]1[N+:19](=[O:20])[O-:21].Br[CH2:1][CH3:2],[CH2:1]([CH3:2])[N:9]([CH:7]([C:5]([O:4][CH3:3])=[O:6])[CH3:8])[S:10](=[O:11])(=[O:12])[c:13]1[cH:14][cH:15][cH:16][cH:17][c:18]1[N+:19](=[O:20])[O-:21],,"[('b', 3, 449)]",955,train,1
O=[C:1]([CH2:2][CH3:3])[c:4]1[cH:5][cH:6][c:7]([Cl:8])[cH:9][cH:10]1.[NH2:11][OH:12],[C:1]([CH2:2][CH3:3])([c:4]1[cH:5][cH:6][c:7]([Cl:8])[cH:9][cH:10]1)=[N:11][OH:12],,"[('b', 19, 437)]",446,train,1
Br[CH2:1][CH2:2][O:3][c:4]1[cH:5][cH:6][c:7]([CH:8]=[O:9])[cH:10][cH:11]1.[CH3:12][CH2:13][CH2:14][c:15]1[n:16][c:17]([CH3:18])[cH:19][c:20](=[O:21])[nH:22]1,[CH2:1]([CH2:2][O:3][c:4]1[cH:5][cH:6][c:7]([CH:8]=[O:9])[cH:10][cH:11]1)[n:22]1[c:15]([CH2:14][CH2:13][CH3:12])[n:16][c:17]([CH3:18])[cH:19][c:20]1=[O:21],,"[('b', 21, 440)]",457,train,1
Cl[CH2:1][c:2]1[cH:3][cH:4][c:5]([C:6]2([CH3:7])[O:8][CH2:9][CH2:10][O:11]2)[o:12]1.[O:13]=[N+:14]([O-:15])[c:16]1[cH:17][n:18][nH:19][n:20]1,[CH2:1]([c:2]1[cH:3][cH:4][c:5]([C:6]2([CH3:7])[O:8][CH2:9][CH2:10][O:11]2)[o:12]1)[n:19]1[n:18][cH:17][c:16]([N+:14](=[O:13])[O-:15])[n:20]1,,"[('b', 23, 430)]",307,train,1
[O:11]=[C:12]1[O:13][CH2:14][c:15]2[cH:16][cH:17][cH:18][cH:19][c:20]2[N:21]1[CH:22]1[CH2:23][CH2:24][NH:25][CH2:26][CH2:27]1.Cl[c:1]1[n:2][cH:3][c:4]([C:5](=[O:6])[OH:7])[cH:8][c:9]1[Cl:10],[c:1]1([N:25]2[CH2:24][CH2:23][CH:22]([N:21]3[C:12](=[O:11])[O:13][CH2:14][c:15]4[cH:16][cH:17][cH:18][cH:19][c:20]43)[CH2:27][CH2:26]2)[n:2][cH:3][c:4]([C:5](=[O:6])[OH:7])[cH:8][c:9]1[Cl:10],,"[('b', 1, 451)]",1916,train,1
O[C:1](=[O:2])[CH:3]=[CH:4][c:5]1[cH:6][cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[n:13][c:14]1[N:15]1[CH2:16][CH2:17][O:18][CH2:19][CH2:20]1.[CH3:21][S:22](=[O:23])(=[O:24])[NH:25][c:26]1[c:27]([F:28])[cH:29][c:30]([CH2:31][NH2:32])[cH:33][c:34]1[C:35]([F:36])([F:37])[F:38],[C:1](=[O:2])([CH:3]=[CH:4][c:5]1[cH:6][cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[n:13][c:14]1[N:15]1[CH2:16][CH2:17][O:18][CH2:19][CH2:20]1)[NH:32][CH2:31][c:30]1[cH:29][c:27]([F:28])[c:26]([NH:25][S:22]([CH3:21])(=[O:23])=[O:24])[c:34]([C:35]([F:36])([F:37])[F:38])[cH:33]1,,"[('b', 39, 453)]",4537,train,1
O=[C:1]1[CH2:2][N:3]2[CH2:4][CH2:5][CH:6]1[CH2:7][CH2:8]2.[NH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1,[CH:1]1([NH:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[CH2:2][N:3]2[CH2:4][CH2:5][CH:6]1[CH2:7][CH2:8]2,,"[('b', 1, 450)]",1299,train,1
O[CH:1]([c:2]1[c:3]([CH3:4])[nH:5][c:6]2[c:7]1[C:8](=[O:9])[CH2:10][C:11]([CH3:12])([CH3:13])[CH2:14]2)[c:15]1[cH:16][cH:17][c:18]([S:19](=[O:20])(=[O:21])[N:22]2[CH2:23][CH2:24][O:25][CH2:26][CH2:27]2)[cH:28][cH:29]1,[CH2:1]([c:2]1[c:3]([CH3:4])[nH:5][c:6]2[c:7]1[C:8](=[O:9])[CH2:10][C:11]([CH3:12])([CH3:13])[CH2:14]2)[c:15]1[cH:16][cH:17][c:18]([S:19](=[O:20])(=[O:21])[N:22]2[CH2:23][CH2:24][O:25][CH2:26][CH2:27]2)[cH:28][cH:29]1,,"[('a', 0, 107)]",97,train,1
Cl[CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][OH:7].[CH2:8]=[C:9]([CH3:10])[C:11](=[O:12])[O-:13],[CH2:1]([CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][OH:7])[O:13][C:11]([C:9](=[CH2:8])[CH3:10])=[O:12],,"[('b', 13, 354)]",26,train,1
Br[c:1]1[cH:2][c:3]([C:4]([O:5][CH3:6])=[O:7])[c:8]([O:9][C:10]([F:11])([F:12])[F:13])[cH:14][cH:15]1.[CH:16]#[C:17][Si:18]([CH3:19])([CH3:20])[CH3:21],[c:1]1([C:16]#[C:17][Si:18]([CH3:19])([CH3:20])[CH3:21])[cH:2][c:3]([C:4]([O:5][CH3:6])=[O:7])[c:8]([O:9][C:10]([F:11])([F:12])[F:13])[cH:14][cH:15]1,,"[('b', 1, 427)]",265,train,1
[O:6]=[c:7]1[cH:8][cH:9][n:10]([C@@H:11]2[O:12][C@H:13]([CH2:14][OH:15])[C@@H:16]([OH:17])[C@H:18]2[OH:19])[c:20](=[O:21])[nH:22]1.Cl[C:1]([C:2]([CH3:3])=[O:4])=[O:5],[C:1]([C:2]([CH3:3])=[O:4])(=[O:5])[O:15][CH2:14][C@H:13]1[O:12][C@@H:11]([n:10]2[cH:9][cH:8][c:7](=[O:6])[nH:22][c:20]2=[O:21])[C@H:18]([OH:19])[C@@H:16]1[OH:17],,"[('b', 9, 444)]",782,train,1
O[C:1](=[O:2])[c:3]1[cH:4][cH:5][c:6]2[n:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][c:14]([N:15]3[CH2:16][CH2:17][C@H:18]([OH:19])[CH2:20]3)[c:21]2[cH:22]1.[CH3:23][c:24]1[cH:25][c:26]([C@@H:27]([CH3:28])[NH2:29])[c:30]([F:31])[cH:32][c:33]1[NH:34][S:35]([CH3:36])(=[O:37])=[O:38],[C:1](=[O:2])([c:3]1[cH:4][cH:5][c:6]2[n:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][c:14]([N:15]3[CH2:16][CH2:17][C@H:18]([OH:19])[CH2:20]3)[c:21]2[cH:22]1)[NH:29][C@@H:27]([c:26]1[cH:25][c:24]([CH3:23])[c:33]([NH:34][S:35]([CH3:36])(=[O:37])=[O:38])[cH:32][c:30]1[F:31])[CH3:28],,"[('b', 43, 453)]",4537,train,1
O[CH2:1][CH2:2][CH2:3][O:4][CH2:5][CH:6]=[C:7]1[c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]2[CH2:14][CH2:15][c:16]2[cH:17][cH:18][cH:19][cH:20][c:21]21.[CH3:22][CH2:23][O:24][C:25](=[O:26])[C@@H:27]1[CH2:28][CH2:29][CH2:30][NH:31][CH2:32]1,[CH2:1]([CH2:2][CH2:3][O:4][CH2:5][CH:6]=[C:7]1[c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]2[CH2:14][CH2:15][c:16]2[cH:17][cH:18][cH:19][cH:20][c:21]21)[N:31]1[CH2:30][CH2:29][CH2:28][C@@H:27]([C:25]([O:24][CH2:23][CH3:22])=[O:26])[CH2:32]1,,"[('b', 41, 453)]",4537,train,1
CC(C)(C)OC(=O)[N:1]1[CH2:2][CH2:3][CH2:4][N:5]([c:6]2[cH:7][cH:8][cH:9][c:10](-[n:11]3[n:12][cH:13][c:14]4[cH:15][n:16][c:17](-[c:18]5[cH:19][n:20][n:21]([CH2:22][CH:23]6[CH2:24][CH2:25]6)[cH:26]5)[cH:27][c:28]34)[n:29]2)[CH2:30][CH2:31]1,[NH:1]1[CH2:2][CH2:3][CH2:4][N:5]([c:6]2[cH:7][cH:8][cH:9][c:10](-[n:11]3[n:12][cH:13][c:14]4[cH:15][n:16][c:17](-[c:18]5[cH:19][n:20][n:21]([CH2:22][CH:23]6[CH2:24][CH2:25]6)[cH:26]5)[cH:27][c:28]34)[n:29]2)[CH2:30][CH2:31]1,,"[('a', 0, 122)]",1493,train,1
c1ccc(C[O:1][c:2]2[c:3]([C:4](=[O:5])[OH:6])[cH:7][c:8](-[c:9]3[cH:10][cH:11][cH:12][n:13][cH:14]3)[cH:15][cH:16]2)cc1,[OH:1][c:2]1[c:3]([C:4](=[O:5])[OH:6])[cH:7][c:8](-[c:9]2[cH:10][cH:11][cH:12][n:13][cH:14]2)[cH:15][cH:16]1,,"[('a', 0, 118)]",385,train,1
C[O:1][C:2](=[O:3])[CH2:4][CH2:5][CH2:6][CH2:7][C:8](=[O:9])[NH:10][c:11]1[c:12]([C:13](=[O:14])[NH:15][c:16]2[cH:17][cH:18][c:19]([Cl:20])[cH:21][n:22]2)[o:23][c:24]2[cH:25][cH:26][cH:27][cH:28][c:29]12,[OH:1][C:2](=[O:3])[CH2:4][CH2:5][CH2:6][CH2:7][C:8](=[O:9])[NH:10][c:11]1[c:12]([C:13](=[O:14])[NH:15][c:16]2[cH:17][cH:18][c:19]([Cl:20])[cH:21][n:22]2)[o:23][c:24]2[cH:25][cH:26][cH:27][cH:28][c:29]12,,"[('a', 0, 123)]",1797,train,1
O=S(=O)(O[c:1]1[cH:2][c:3]([CH3:4])[n:5]([CH2:6][c:7]2[cH:8][cH:9][cH:10][n:11][cH:12]2)[c:13](=[O:14])[c:15]1[Br:16])C(F)(F)F.[CH:17]#[C:18][c:19]1[cH:20][cH:21][c:22]([F:23])[cH:24][cH:25]1,[c:1]1([C:17]#[C:18][c:19]2[cH:20][cH:21][c:22]([F:23])[cH:24][cH:25]2)[cH:2][c:3]([CH3:4])[n:5]([CH2:6][c:7]2[cH:8][cH:9][cH:10][n:11][cH:12]2)[c:13](=[O:14])[c:15]1[Br:16],,"[('b', 1, 340)]",19,train,1
O[C:1]([c:2]1[c:3]([NH2:4])[cH:5][c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[cH:12]1)=[O:13].[CH3:14][CH2:15][CH2:16][CH2:17][O:18][CH2:19][C@H:20]([NH2:21])[C:22](=[O:23])[O:24][CH3:25],[C:1]([c:2]1[c:3]([NH2:4])[cH:5][c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[cH:12]1)(=[O:13])[NH:21][C@@H:20]([CH2:19][O:18][CH2:17][CH2:16][CH2:15][CH3:14])[C:22](=[O:23])[O:24][CH3:25],,"[('b', 25, 453)]",4537,train,1
[CH3:1][CH2:2][C:3]([CH3:4])([CH2:5][CH3:6])[CH:7]1[CH2:8][CH2:9][CH:10]([OH:11])[CH2:12][CH2:13]1,[CH3:1][CH2:2][C:3]([CH3:4])([CH2:5][CH3:6])[CH:7]1[CH2:8][CH2:9][C:10](=[O:11])[CH2:12][CH2:13]1,,"[('b', 18, 435), ('b', 19, 435)]",413,train,1
[CH3:1][n:2]1[cH:3][c:4]([C:5](=[O:6])[NH:7][CH2:8][CH2:9][CH:10]2[CH2:11][CH2:12][N:13]([S:14]([NH2:15])(=[O:16])=[O:17])[CH2:18][CH2:19]2)[c:20](=[O:21])[n:22]([CH3:23])[c:24]1=[O:25].[O:26]=[C:27]=[N:28][C:29]12[CH2:30][CH:31]3[CH2:32][CH:33]([CH2:34][CH:35]([CH2:36]3)[CH2:37]1)[CH2:38]2,[CH3:1][n:2]1[cH:3][c:4]([C:5](=[O:6])[NH:7][CH2:8][CH2:9][CH:10]2[CH2:11][CH2:12][N:13]([S:14]([NH:15][C:27](=[O:26])[NH:28][C:29]34[CH2:30][CH:31]5[CH2:32][CH:33]([CH2:34][CH:35]([CH2:36]5)[CH2:37]3)[CH2:38]4)(=[O:16])=[O:17])[CH2:18][CH2:19]2)[c:20](=[O:21])[n:22]([CH3:23])[c:24]1=[O:25],,"[('b', 28, 442)]",566,train,1
[CH3:8][C@H:9]([NH:10][CH2:11][CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1)[c:19]1[cH:20][cH:21][cH:22][c:23]([C:24]([CH3:25])([CH3:26])[O:27][SiH2:28][C:29]([CH3:30])([CH3:31])[CH3:32])[n:33]1.CC(C)(C)OC(=O)O[C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7],[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:10]([C@@H:9]([CH3:8])[c:19]1[cH:20][cH:21][cH:22][c:23]([C:24]([CH3:25])([CH3:26])[O:27][SiH2:28][C:29]([CH3:30])([CH3:31])[CH3:32])[n:33]1)[CH2:11][CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1,,"[('b', 13, 432)]",323,train,1
[CH3:3][CH2:4][CH:5]1[CH2:6][O:7][c:8]2[cH:9][c:10]([N+:11](=[O:12])[O-:13])[cH:14][cH:15][c:16]2[NH:17]1.O=[CH:1][CH3:2],[CH2:1]([CH3:2])[N:17]1[CH:5]([CH2:4][CH3:3])[CH2:6][O:7][c:8]2[cH:9][c:10]([N+:11](=[O:12])[O-:13])[cH:14][cH:15][c:16]21,,"[('b', 3, 450)]",1299,train,1
O[C:1]([CH2:2][c:3]1[c:4]([CH3:5])[cH:6][c:7](-[n:8]2[cH:9][n:10][c:11]3[cH:12][cH:13][cH:14][n:15][c:16]23)[cH:17][cH:18]1)=[O:19].[CH3:20][CH2:21][N:22]([CH2:23][CH3:24])[CH2:25][c:26]1[cH:27][cH:28][c:29]([NH2:30])[cH:31][c:32]1[C:33]([F:34])([F:35])[F:36],[C:1]([CH2:2][c:3]1[c:4]([CH3:5])[cH:6][c:7](-[n:8]2[cH:9][n:10][c:11]3[cH:12][cH:13][cH:14][n:15][c:16]23)[cH:17][cH:18]1)(=[O:19])[NH:30][c:29]1[cH:28][cH:27][c:26]([CH2:25][N:22]([CH2:21][CH3:20])[CH2:23][CH3:24])[c:32]([C:33]([F:34])([F:35])[F:36])[cH:31]1,,"[('b', 37, 453)]",4537,train,1
